assembly	chromosome
arabis_alpina	1
arabis_alpina	2
arabis_alpina	3
arabis_alpina	4
arabis_alpina	5
arabis_alpina	6
arabis_alpina	7
arabis_alpina	8
arabis_alpina	KL967350
arabis_alpina	KL967362
arabis_alpina	KL967368
arabis_alpina	KL967372
arabis_alpina	KL967373
arabis_alpina	KL967402
arabis_alpina	KL967407
arabis_alpina	KL967461
arabis_alpina	KL967485
arabis_alpina	KL967489
arabis_alpina	KL967496
arabis_alpina	KL967508
arabis_alpina	KL967536
arabis_alpina	KL967546
arabis_alpina	KL967568
arabis_alpina	KL967588
arabis_alpina	KL967593
arabis_alpina	KL967626
arabis_alpina	KL967642
arabis_alpina	KL967643
arabis_alpina	KL967644
arabis_alpina	KL967662
arabis_alpina	KL967692
arabis_alpina	KL967694
arabis_alpina	KL967700
arabis_alpina	KL967704
arabis_alpina	KL967728
arabis_alpina	KL967741
arabis_alpina	KL967759
arabis_alpina	KL967772
arabis_alpina	KL967808
arabis_alpina	KL967821
arabis_alpina	KL967829
arabis_alpina	KL967839
arabis_alpina	KL967874
arabis_alpina	KL967895
arabis_alpina	KL967920
arabis_alpina	KL967935
arabis_alpina	KL967971
arabis_alpina	KL967994
arabis_alpina	KL968031
arabis_alpina	KL968038
arabis_alpina	KL968133
arabis_alpina	KL968134
arabis_alpina	KL968138
arabis_alpina	KL968190
arabis_alpina	KL968231
arabis_alpina	KL968254
arabis_alpina	KL968274
arabis_alpina	KL968277
arabis_alpina	KL968293
arabis_alpina	KL968319
arabis_alpina	KL968323
arabis_alpina	KL968325
arabis_alpina	KL968331
arabis_alpina	KL968335
arabis_alpina	KL968341
arabis_alpina	KL968349
arabis_alpina	KL968368
arabis_alpina	KL968371
arabis_alpina	KL968373
arabis_alpina	KL968378
arabis_alpina	KL968393
arabis_alpina	KL968399
arabis_alpina	KL968413
arabis_alpina	KL968415
arabis_alpina	KL968427
arabis_alpina	KL968429
arabis_alpina	KL968434
arabis_alpina	KL968435
arabis_alpina	KL968438
arabis_alpina	KL968461
arabis_alpina	KL968466
arabis_alpina	KL968467
arabis_alpina	KL968472
arabis_alpina	KL968477
arabis_alpina	KL968479
arabis_alpina	KL968485
arabis_alpina	KL968516
arabis_alpina	KL968517
arabis_alpina	KL968522
arabis_alpina	KL968539
arabis_alpina	KL968553
arabis_alpina	KL968574
arabis_alpina	KL968603
arabis_alpina	KL968616
arabis_alpina	KL968620
arabis_alpina	KL968665
arabis_alpina	KL968678
arabis_alpina	KL968693
arabis_alpina	KL968713
arabis_alpina	KL968714
arabis_alpina	KL968728
arabis_alpina	KL968758
arabis_alpina	KL968798
arabis_alpina	KL968811
arabis_alpina	KL968830
arabis_alpina	KL968856
arabis_alpina	KL968862
arabis_alpina	KL968897
arabis_alpina	KL968906
arabis_alpina	KL968925
arabis_alpina	KL968930
arabis_alpina	KL968935
arabis_alpina	KL968984
arabis_alpina	KL968992
arabis_alpina	KL968993
arabis_alpina	KL969001
arabis_alpina	KL969003
arabis_alpina	KL969011
arabis_alpina	KL969039
arabis_alpina	KL969053
arabis_alpina	KL969058
arabis_alpina	KL969076
arabis_alpina	KL969084
arabis_alpina	KL969136
arabis_alpina	KL969138
arabis_alpina	KL969143
