run	replicate	layout	genome	ploidy	taxonKeys
ERR10695518	SAMEA112268742	PE	musa_acuminata	3	2762950
ERR10695519	SAMEA112268743	PE	musa_acuminata	3	2762950
ERR10695520	SAMEA112268744	PE	musa_acuminata	3	2762950
ERR10695521	SAMEA112268745	PE	musa_acuminata	3	2762950
ERR10695522	SAMEA112268746	PE	musa_acuminata	3	2762950
ERR10695523	SAMEA112268747	PE	musa_acuminata	3	2762950
ERR10695524	SAMEA112268748	PE	musa_acuminata	3	2762950
ERR10695525	SAMEA112268749	PE	musa_acuminata	3	2762950
ERR10695526	SAMEA112268750	PE	musa_acuminata	3	2762950
ERR10695531	SAMEA112268755	PE	musa_acuminata	3	2762950
ERR10695532	SAMEA112268756	PE	musa_acuminata	3	2762950
ERR10695533	SAMEA112268757	PE	musa_acuminata	3	2762950
ERR10695536	SAMEA112268760	PE	musa_acuminata	3	2762950
ERR10695543	SAMEA112268767	PE	musa_acuminata	3	2762950
ERR10695547	SAMEA112268771	PE	musa_acuminata	3	2762950
ERR10695548	SAMEA112268772	PE	musa_acuminata	3	2762950
ERR10695549	SAMEA112268773	PE	musa_acuminata	3	2762950
ERR10695557	SAMEA112268781	PE	musa_acuminata	3	2762950
ERR10695558	SAMEA112268782	PE	musa_acuminata	3	2762950
ERR10695563	SAMEA112268787	PE	musa_acuminata	3	2762950
ERR10695570	SAMEA112268794	PE	musa_acuminata	3	2762950
ERR10695572	SAMEA112268796	PE	musa_acuminata	3	2762950
ERR10695573	SAMEA112268797	PE	musa_acuminata	3	2762950
ERR10695576	SAMEA112268800	PE	musa_acuminata	3	2762950
ERR10695577	SAMEA112268801	PE	musa_acuminata	3	2762950
ERR10695579	SAMEA112268803	PE	musa_acuminata	3	2762950
ERR10695581	SAMEA112268805	PE	musa_acuminata	3	2762950
ERR10695582	SAMEA112268806	PE	musa_acuminata	3	2762950
ERR10695584	SAMEA112268808	PE	musa_acuminata	3	2762950
ERR10695588	SAMEA112268812	PE	musa_acuminata	3	2762950
ERR10695591	SAMEA112268815	PE	musa_acuminata	3	2762950
ERR10695594	SAMEA112268818	PE	musa_acuminata	3	2762950
ERR10695595	SAMEA112268819	PE	musa_acuminata	3	2762950
ERR10695596	SAMEA112268820	PE	musa_acuminata	3	2762950
ERR10695597	SAMEA112268821	PE	musa_acuminata	3	2762950
ERR10695600	SAMEA112268824	PE	musa_acuminata	3	2762950
ERR10695606	SAMEA112268830	PE	musa_acuminata	3	2762950
ERR10695617	SAMEA112268841	PE	musa_acuminata	3	2762950
ERR10695624	SAMEA112268848	PE	musa_acuminata	3	2762950
ERR10695632	SAMEA112268856	PE	musa_acuminata	3	2762950
ERR10695691	SAMEA112268887	PE	musa_acuminata	3	2762950
ERR10695692	SAMEA112268888	PE	musa_acuminata	3	2762950
ERR10695693	SAMEA112268889	PE	musa_acuminata	3	2762950
ERR10695694	SAMEA112268890	PE	musa_acuminata	3	2762950
ERR10695695	SAMEA112268891	PE	musa_acuminata	3	2762950
ERR10695696	SAMEA112268892	PE	musa_acuminata	3	2762950
ERR10695697	SAMEA112268893	PE	musa_acuminata	3	2762950
