Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7904955,2018-10-01 00:11:12,2018-09-26 11:58:20,33611205,6789463410,33611205,202,5257,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904955.sralite.1,SRX4741297,112J,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822628,SAMN10132522,simple,59691,Arabidopsis lyrata subsp. petraea,112J,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,A4B50735BB433CA73B25D9738A12CB31,5AB65402794014806DA680E7F97F5EA7
SRR7904954,2018-10-01 00:11:12,2018-09-26 12:10:58,76795737,15512738874,76795737,202,11870,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904954.sralite.1,SRX4741298,112K,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822629,SAMN10132523,simple,59691,Arabidopsis lyrata subsp. petraea,112K,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,D992650A9208D0582B26CE43E2CF9964,D082580805536F492B8F262EAF2A270D
SRR7904957,2018-10-01 00:11:12,2018-09-26 11:53:19,17314329,3497494458,17314329,202,2729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904957.sralite.1,SRX4741295,133D,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822626,SAMN10132524,simple,59691,Arabidopsis lyrata subsp. petraea,133D,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,4B4219DA9B0009B402ECFB70FCDEC39D,C92A0DBAE51A6365AE8049DF046C4572
SRR7904956,2018-10-01 00:11:12,2018-09-26 11:50:34,13871540,2802051080,13871540,202,2190,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR790/4956/SRR7904956.sralite.1,SRX4741296,133H,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822627,SAMN10132525,simple,59691,Arabidopsis lyrata subsp. petraea,133H,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,BCF8621F2F01DE34092FA99C7622D84F,F8B87C30A4C75D9F16E4CD5DA4B5CFEC
SRR7904959,2018-10-01 00:11:12,2018-09-26 11:50:03,9749462,1949892400,9749462,200,1230,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904959.sralite.1,SRX4741293,170A,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822624,SAMN10132526,simple,59691,Arabidopsis lyrata subsp. petraea,170A,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,9A97A173BE3D4F93153EDE654454057A,C483A3C70B5D639B40496A48ED3D0DCB
SRR7904958,2018-10-01 00:11:12,2018-09-26 11:53:50,23149310,4676160620,23149310,202,3608,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904958.sralite.1,SRX4741294,170G,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822625,SAMN10132527,simple,59691,Arabidopsis lyrata subsp. petraea,170G,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,4E6896AC5DC9B7AA53E2B79FA3EFCFC8,A230BCBAB6506B3417EC418151498E79
SRR7904960,2018-10-01 00:11:12,2018-09-26 12:05:49,38095076,7695205352,38095076,202,5903,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904960.sralite.1,SRX4741292,170K,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822623,SAMN10132528,simple,59691,Arabidopsis lyrata subsp. petraea,170K,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,83F00615AC6A128A557A664ADA8AF41E,5CDC859510307CA5265698E0A240D10B
SRR7904940,2018-10-01 00:11:13,2018-09-26 11:52:47,23352529,4717210858,23352529,202,3666,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904940.sralite.1,SRX4741312,172F,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822645,SAMN10132518,simple,59691,Arabidopsis lyrata subsp. petraea,172F,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,B7B18AE4C83D6DFD1F8B46365DF84896,B61ABE4390F6683D747C93E97FFD4865
SRR7904941,2018-10-01 00:11:13,2018-09-26 11:52:36,21415472,4325925344,21415472,202,3359,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904941.sralite.1,SRX4741311,172H,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822642,SAMN10132519,simple,59691,Arabidopsis lyrata subsp. petraea,172H,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,4418582D5906BCC6B9CC8A0B5866C9B6,190233C8DD4C3D5804E5F1F81E4EFAF1
SRR7904934,2018-10-01 00:11:13,2018-09-26 11:52:09,20443467,4129580334,20443467,202,3219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/904/SRR7904934.sralite.1,SRX4741318,174D,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162655,PRJNA493227,,493227,SRS3822650,SAMN10132516,simple,59691,Arabidopsis lyrata subsp. petraea,174D,,,,,,,no,,,,,ETH ZURICH,SRA784194,,public,2526527D50947EE91B40DA853DB52DA1,B6D9F72141CE1225A788C7B39CF21702
