Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7496644,2018-09-25 10:19:21,2018-07-08 22:10:16,1954187,178173712,0,91,114,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/496/SRR7496644.sralite.1,SRX4366319,0,OTHER,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152747,PRJNA479538,,479538,SRS3525725,SAMN09629916,simple,3818,Arachis hypogaea,0,,,,,,,no,,,,,HENAN ACADEMY OF AGRICULTURAL SCIENCES,SRA735347,,public,32437AA92D83306606367A3B7F46AA8D,E1CFDC16E239943DAFBD36C289420B73
SRR7496645,2018-09-25 10:19:21,2018-07-08 22:11:02,4169251,386178247,0,92,244,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/496/SRR7496645.sralite.1,SRX4366318,1,OTHER,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152747,PRJNA479538,,479538,SRS3525724,SAMN09629917,simple,3818,Arachis hypogaea,1,,,,,,,no,,,,,HENAN ACADEMY OF AGRICULTURAL SCIENCES,SRA735347,,public,C161E81FA836EB9E0C5AECBFAFCF7D6F,F61C50EC6D4473E0A137ADDB498844CE
SRR7496662,2018-09-25 10:19:20,2018-07-08 22:10:52,3339182,306990879,0,91,197,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/496/SRR7496662.sralite.1,SRX4366301,10,OTHER,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152747,PRJNA479538,,479538,SRS3525707,SAMN09629926,simple,3818,Arachis hypogaea,10,,,,,,,no,,,,,HENAN ACADEMY OF AGRICULTURAL SCIENCES,SRA735347,,public,C2CDD250E313768D3FCE26261D32DA0A,2448496D3F016E546F5765437C48D3F5
SRR13424500,2021-05-20 00:46:25,2021-01-13 06:39:53,5040948,1451793024,5040948,288,662,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13424/SRR13424500/SRR13424500.lite.1,SRX9839569,10-Zh.h0095,RAD-Seq,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP301514,PRJNA687812,,687812,SRS8021671,SAMN17168995,simple,3818,Arachis hypogaea,10-Zh.h0095,,,,,,,no,,,,,OIL CROPS RESEARCH INSTITUTE OF THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA1183242,,public,F90A8F1DCBF70C9BB82ED1B5B6B5F2CD,56895AF993CF6949FEE2B8BC86D6F554
SRR13424476,2021-05-20 00:46:25,2021-01-13 06:22:14,1979999,570239712,1979999,288,214,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13424/SRR13424476/SRR13424476.lite.1,SRX9839593,100-Zh.h1657,RAD-Seq,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP301514,PRJNA687812,,687812,SRS8021695,SAMN17169070,simple,3818,Arachis hypogaea,100-Zh.h1657,,,,,,,no,,,,,OIL CROPS RESEARCH INSTITUTE OF THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA1183242,,public,76EF782AFA1B4A732DB8B9BAE796D19F,5D0DB8980DFFD30D5483164F33B50FB8
SRR7496690,2018-09-25 10:19:19,2018-07-08 22:11:33,5229234,490074356,0,93,313,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/496/SRR7496690.sralite.1,SRX4366273,102,OTHER,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152747,PRJNA479538,,479538,SRS3525679,SAMN09630005,simple,3818,Arachis hypogaea,102,,,,,,,no,,,,,HENAN ACADEMY OF AGRICULTURAL SCIENCES,SRA735347,,public,66159FF00A89E4C758B430D4B628CF05,9E369A61CCE35761EB9B750AFF22B254
SRR13424475,2021-05-20 00:46:25,2021-01-13 06:23:24,3681616,1060305408,3681616,288,396,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13424/SRR13424475/SRR13424475.lite.1,SRX9839594,102-Zh.h1684,RAD-Seq,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP301514,PRJNA687812,,687812,SRS8021696,SAMN17169071,simple,3818,Arachis hypogaea,102-Zh.h1684,,,,,,,no,,,,,OIL CROPS RESEARCH INSTITUTE OF THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA1183242,,public,C4F110A4F1183E1001900C4178AA359E,096ACB6CB8B7C944913FF95DD551F443
SRR7496665,2018-09-25 10:19:20,2018-07-08 22:11:10,4076604,379515813,0,93,241,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/496/SRR7496665.sralite.1,SRX4366298,103,OTHER,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP152747,PRJNA479538,,479538,SRS3525704,SAMN09630006,simple,3818,Arachis hypogaea,103,,,,,,,no,,,,,HENAN ACADEMY OF AGRICULTURAL SCIENCES,SRA735347,,public,B6B9893490844EE34D4A84D7ECA5E775,F030A835469A3AC5FD855E6869AE1AA8
SRR13424474,2021-05-20 00:46:25,2021-01-13 06:23:03,3184158,917037504,3184158,288,360,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13424/SRR13424474/SRR13424474.lite.1,SRX9839595,103-Zh.h1686,RAD-Seq,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP301514,PRJNA687812,,687812,SRS8021697,SAMN17169072,simple,3818,Arachis hypogaea,103-Zh.h1686,,,,,,,no,,,,,OIL CROPS RESEARCH INSTITUTE OF THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA1183242,,public,D5EDCFD9422DFA5BD6BE4F0DF661EB71,32E3E5A53D79049AD5237C1B26122128
SRR13424473,2021-05-20 00:46:25,2021-01-13 06:23:04,3755014,1081444032,3755014,288,428,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13424/SRR13424473/SRR13424473.lite.1,SRX9839596,104-Zh.h1714,RAD-Seq,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP301514,PRJNA687812,,687812,SRS8021698,SAMN17169073,simple,3818,Arachis hypogaea,104-Zh.h1714,,,,,,,no,,,,,OIL CROPS RESEARCH INSTITUTE OF THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA1183242,,public,A18825FD567308D26AF39ACF1FDDB2BA,B495FDEB952300D25975A297F09EDC30
