Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3708805,2016-06-21 18:52:17,2016-06-21 20:53:20,136861779,27372355800,136861779,200,17866,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/708/SRR3708805/SRR3708805.sralite.1,SRX1869283,CUYY,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076878,PRJNA249907,,249907,SRS1520047,SAMN02947395,simple,15368,Brachypodium distachyon,1000595,,,,,,,no,,,,,JGI,SRA434920,,public,8B29AFE2493B27915ECA4B53270BACAD,DD52E9A1F596EE895AA3BF360C1EDDED
SRR3709216,2016-06-22 00:28:18,2016-06-22 02:48:16,152030763,30406152600,152030763,200,19808,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/709/SRR3709216/SRR3709216.sralite.1,SRX1869528,CUYZ,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076899,PRJNA249901,,249901,SRS1520207,SAMN02821630,simple,15368,Brachypodium distachyon,1000598,,,,,,,no,,,,,JGI,SRA434946,,public,348BD626F1A7FD02C7697A89CA0302E3,C92989156013245934EE50BFCD3E2236
SRR3709215,2016-06-22 00:27:26,2016-06-22 01:55:38,144800659,28960131800,144800659,200,18385,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/709/SRR3709215/SRR3709215.sralite.1,SRX1869527,CUZA,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076898,PRJNA249905,,249905,SRS1520206,SAMN02947396,simple,15368,Brachypodium distachyon,1000601,,,,,,,no,,,,,JGI,SRA434945,,public,D1F086470E6453C57C75F702C2EF507E,32BF174A4EE98433E635CC638F21B27C
SRR402737,2012-01-26 06:13:21,2012-08-11 17:37:04,85181347,12947564744,85181347,152,8729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/402/SRR402737/SRR402737.sralite.1,SRX117923,GPIT,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina Genome Analyzer II,SRP001538,PRJNA32607,1,32607,SRS290395,SAMN00779234,simple,15368,Brachypodium distachyon,10008,,,,,,,no,,,,,JGI,SRA049643,,public,6359F53CEE64FEFBA254DA836921ECE0,C84E3191ECAF3CE48CE552BF1B5577CB
SRR1800521,2015-02-20 17:58:14,2015-02-20 17:06:26,158462332,31692466400,158462332,200,20882,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/800/SRR1800521/SRR1800521.sralite.1,SRX874557,CUWC,WGS,size fractionation,GENOMIC,PAIRED,563,0,ILLUMINA,Illumina HiSeq 2000,SRP054525,PRJNA258992,,258992,SRS844147,SAMN03003516,simple,15368,Brachypodium distachyon,1006479,,,,,,,no,,,,,JGI,SRA239709,,public,5ED25E404CC48316FBCD979C3515F3B6,D42C88A43683F54C791DD7D97BD34890
SRR1800522,2015-02-20 17:36:13,2015-02-20 16:33:17,72549663,21764898900,72549663,300,12771,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/800/SRR1800522/SRR1800522.sralite.1,SRX874558,PGXP,WGS,RANDOM,GENOMIC,PAIRED,427,0,ILLUMINA,Illumina HiSeq 2000,SRP054525,PRJNA258992,,258992,SRS844147,SAMN03003516,simple,15368,Brachypodium distachyon,1006479,,,,,,,no,,,,,JGI,SRA239709,,public,B6BCB3877205E091559942C91BF27AFE,BBAED5A434A7D3CBFAEBB6FF8C2B8189
SRR547945,2015-07-22 17:10:40,2015-12-07 04:56:04,8778652,1755730400,8778652,200,1130,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/547/SRR547945/SRR547945.2,SRX181206,IAZT,WGS,RANDOM,GENOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,SRP001538,PRJNA32607,1,32607,SRS359840,SAMN01137370,simple,15368,Brachypodium distachyon,12285,,,,,,,no,,,,,JGI,SRA057882,,public,93D8595B720ED3E069576B0AB1EA1709,6DCE605D6E4688D2B2456982B98A669D
SRR547946,2015-07-22 17:10:40,2015-11-22 11:05:30,170683249,34136649800,170683249,200,23102,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/547/SRR547946/SRR547946.2,SRX181207,IFWX,WGS,RANDOM,GENOMIC,PAIRED,270,0,ILLUMINA,Illumina HiSeq 2000,SRP001538,PRJNA32607,1,32607,SRS359840,SAMN01137370,simple,15368,Brachypodium distachyon,12285,,,,,,,no,,,,,JGI,SRA057882,,public,133A4272FEDAA5F373C6B6B829E1D1D5,D3764DF9A2739234925CA98B39017713
SRR547947,2015-07-22 17:10:40,2015-11-22 11:47:47,136975917,27395183400,136975917,200,16489,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/547/SRR547947/SRR547947.2,SRX181209,IUFN,WGS,RANDOM,GENOMIC,PAIRED,4000,0,ILLUMINA,Illumina HiSeq 2000,SRP001538,PRJNA32607,1,32607,SRS359840,SAMN01137370,simple,15368,Brachypodium distachyon,12285,,,,,,,no,,,,,JGI,SRA057882,,public,F4CAD8E278AA64BBC76CEB67F1AB059F,25C691B6A4AC80560A39A93B8700FAF9
SRR547948,2015-07-22 17:10:40,2015-12-07 04:53:29,6146970,1229394000,6146970,200,758,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/547/SRR547948/SRR547948.2,SRX181208,IAZT,WGS,RANDOM,GENOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,SRP001538,PRJNA32607,1,32607,SRS359840,SAMN01137370,simple,15368,Brachypodium distachyon,12285,,,,,,,no,,,,,JGI,SRA057882,,public,9099DD2B04C2989C4C427066BA7215F4,0D5A22C143E00EADC166AF046028DFE9
