Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5493109,2017-05-01 22:35:14,2017-05-01 22:29:25,15599068,3119813600,15599068,200,2278,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/493/SRR5493109.sralite.1,SRX2774502,library3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP105826,PRJNA384517,,384517,SRS2157814,SAMN06841129,simple,3716,Brassica oleracea var. capitata,09-211,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA558503,,public,6CDC3C28CF27356D6D568FBDFCFAEC09,626A3059F4EF78B571BBC8F00D97A764
SRR5493117,2017-05-01 22:32:13,2017-05-01 22:27:14,15622516,3124503200,15622516,200,2278,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/493/SRR5493117.sralite.1,SRX2774503,library2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP105826,PRJNA384517,,384517,SRS2157814,SAMN06841129,simple,3716,Brassica oleracea var. capitata,09-211,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA558503,,public,8A870125104E7C11369AD980149016E2,0A0C222C1818D775B8AA952683121F98
SRR5493130,2017-05-01 22:37:14,2017-05-01 22:28:18,15633423,3126684600,15633423,200,2279,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/493/SRR5493130.sralite.1,SRX2774504,library1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP105826,PRJNA384517,,384517,SRS2157814,SAMN06841129,simple,3716,Brassica oleracea var. capitata,09-211,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA558503,,public,9C3518BD2EE64336D2BAA0B3DCBE8F3F,E089A859122BAB64C3AB4CD7CF87A55F
SRR5493068,2017-05-01 22:37:13,2017-05-01 22:29:10,15631659,3126331800,15631659,200,2294,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/493/SRR5493068.sralite.1,SRX2774499,library6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP105826,PRJNA384517,,384517,SRS2157810,SAMN06841130,simple,3716,Brassica oleracea var. capitata,09-222,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA558503,,public,0FE5D557574D3C4E8B1AF4F86E9D1129,18A13C30EB1D9D583ED7E01D21C70D18
SRR5493081,2017-05-01 22:37:13,2017-05-01 22:28:24,15666939,3133387800,15666939,200,2297,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/493/SRR5493081.sralite.1,SRX2774500,library5,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP105826,PRJNA384517,,384517,SRS2157810,SAMN06841130,simple,3716,Brassica oleracea var. capitata,09-222,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA558503,,public,F6237FB046609BD15F8CBF9F146B9EAC,6F488FC209C9FEB767D9E4CD4551B955
SRR5493091,2017-05-01 22:35:14,2017-05-01 22:30:24,15665436,3133087200,15665436,200,2295,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/493/SRR5493091.sralite.1,SRX2774501,library4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP105826,PRJNA384517,,384517,SRS2157810,SAMN06841130,simple,3716,Brassica oleracea var. capitata,09-222,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA558503,,public,4EC4397761EE2C3A4081E246E7F87886,EB78C455ED710E9FCA4493D619186E52
SRR11600554,2021-07-31 00:06:23,2020-04-24 01:43:48,382261305,60397286190,382261305,158,26406,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11600/SRR11600554/SRR11600554.lite.1,SRX8167181,BW716 10X Reads,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP258152,PRJNA627442,1,627442,SRS6528449,SAMN14670177,simple,3712,Brassica oleracea,10X Sequencing of Brassica oleracea,,,,,,,no,,,,,"UNIVERSITY OF CALIFORNIA, DAVIS",SRA1068417,,public,DA2F4CD59F0FC4097D614A99D4B8A869,3E8C5186CDFF6D1F3F9E8F653A60B201
SRR6453870,2019-04-01 00:27:24,2019-06-10 15:18:17,10847479,3243887636,10847479,299,1361,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453870.sralite.1,SRX3544309,2002_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817501,SAMN08321153,simple,3712,Brassica oleracea,2002,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,E09A5810722EC4F0E180DB9A0B6CE8A9,EE27A585A8A963AA23B57E2D25E33211
SRR6453863,2019-04-01 00:27:24,2019-05-22 08:40:51,9379294,2804759063,9379294,299,1153,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453863.sralite.1,SRX3544316,2003_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817508,SAMN08321154,simple,3712,Brassica oleracea,2003,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,AD614084E563BC201A315C175325A668,E8D8A76CCECCF71D22341DE6DAFEF437
SRR6453862,2019-04-01 00:27:24,2019-05-22 08:41:51,10166940,3038166185,10166940,298,1225,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453862.sralite.1,SRX3544317,2004_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817509,SAMN08321155,simple,3712,Brassica oleracea,2004,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,6E57AA3D7CB403DFDC6D0524D1692A1C,B0F7440BCD5BC8D627AA3DFE24686637
