Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR1769833,2017-01-05 11:01:23,2017-01-05 12:26:17,28714174,5742834800,28714174,200,3726,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/769/ERR1769833.sralite.1,ERX1835181,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013509,PRJEB12070,,360263,ERS1487420,SAMEA36979168,simple,264402,Capsella grandiflora,SAMEA36979168,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782491,,public,602E402FFD536533369F18F032C167C0,D5F401D8DBD16E10267C1FE1CA85059F
ERR1769834,2017-01-05 11:01:23,2017-01-05 12:27:21,28569376,5713875200,28569376,200,3731,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/769/ERR1769834.sralite.1,ERX1835182,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013509,PRJEB12070,,360263,ERS1487420,SAMEA36979168,simple,264402,Capsella grandiflora,SAMEA36979168,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782491,,public,DE03AEDD17D695C76206F3A2040D51B2,56073BE7A554D5F9F48C86AA3595D5BE
ERR1769835,2017-01-05 11:01:23,2017-01-05 12:28:37,19921930,3984386000,19921930,200,2607,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/769/ERR1769835.sralite.1,ERX1835183,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013509,PRJEB12070,,360263,ERS1487421,SAMEA36979918,simple,264402,Capsella grandiflora,SAMEA36979918,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782491,,public,4C1F0BECF9B89C304D6008F3302F311F,5D7756D2EF10188A6E0DD4683F7F2D12
ERR1769836,2017-01-05 11:01:23,2017-01-05 12:28:34,19865863,3973172600,19865863,200,2617,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/769/ERR1769836.sralite.1,ERX1835184,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013509,PRJEB12070,,360263,ERS1487421,SAMEA36979918,simple,264402,Capsella grandiflora,SAMEA36979918,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782491,,public,0CBA4F2D2490C4BE52A623D190DACF60,479B527F57FF55F03F7507251B1ED60E
ERR1769837,2017-01-05 11:01:23,2017-01-05 12:31:00,26076456,5215291200,26076456,200,3377,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/769/ERR1769837.sralite.1,ERX1835185,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013509,PRJEB12070,,360263,ERS1487422,SAMEA36980668,simple,264402,Capsella grandiflora,SAMEA36980668,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782491,,public,567B723F4CB1F9BEFA95CC57E5509F02,C3B582F9E5EA8D2AC2A6D79CF714FF2F
ERR1769838,2017-01-05 11:01:23,2017-01-05 12:31:58,26111060,5222212000,26111060,200,3400,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/769/ERR1769838.sralite.1,ERX1835186,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013509,PRJEB12070,,360263,ERS1487422,SAMEA36980668,simple,264402,Capsella grandiflora,SAMEA36980668,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782491,,public,4E59DE01C444661B00E23E344A4E576D,3302D2D01DBADFE5E360255372E5A58E
ERR1769847,2017-01-05 11:01:23,2019-01-30 07:10:20,19446170,3889234000,19446170,200,2508,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR001/769/ERR1769847.sralite.1,ERX1835195,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013511,PRJEB12072,,360262,ERS1487429,SAMEA36985918,simple,264402,Capsella grandiflora,SAMEA36985918,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782492,,public,9BC3BF653A9C4DD7CF5212CE20F6BF4E,A3E4E48B5A1755CD72D8DA105523132D
ERR1769848,2017-01-05 11:01:23,2019-01-30 07:10:18,21536353,4307270600,21536353,200,2728,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR001/769/ERR1769848.sralite.1,ERX1835196,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013511,PRJEB12072,,360262,ERS1487429,SAMEA36985918,simple,264402,Capsella grandiflora,SAMEA36985918,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782492,,public,F150AE4B3BCDB3FA59D5D4144C90BF3B,33D0B6054DD8308194E307732025939D
ERR1769849,2017-01-05 11:01:23,2019-01-29 12:31:06,15899342,3179868400,15899342,200,2094,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR001/769/ERR1769849.sralite.1,ERX1835197,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013511,PRJEB12072,,360262,ERS1487430,SAMEA36986668,simple,264402,Capsella grandiflora,SAMEA36986668,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782492,,public,4FAFC077113BED2CC5BED3DE41D66FA9,DAE8B82A4569FAFF8A2344431C83D332
ERR1769850,2017-01-05 11:01:23,2019-01-30 07:12:04,19293568,3858713600,19293568,200,2421,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR001/769/ERR1769850.sralite.1,ERX1835198,unspecified,WGS,size fractionation,GENOMIC,PAIRED,330,0,ILLUMINA,Illumina HiSeq 2000,ERP013511,PRJEB12072,,360262,ERS1487430,SAMEA36986668,simple,264402,Capsella grandiflora,SAMEA36986668,,,,,,,no,,,,,"UPPSALA UNIVERSITY, DEPARTMENT OF ECOLOGY AND GENE",ERA782492,,public,40F75EFE6F774FF067EB7764C61221FC,0816320521413567F222B22A4BA6152F
