Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR160231,2012-08-28 23:12:12,2012-09-02 03:04:58,33929347,6853728094,33929347,202,4105,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/160/ERR160231/ERR160231.sralite.1,ERX136081,unspecified,OTHER,unspecified,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina Genome Analyzer IIx,ERP001651,PRJEB3176,,204725,ERS159034,SAMEA1487395,simple,81985,Capsella rubella,SAMEA1487395,,,,,,,no,,,,,MPI-TUEBINGEN,ERA148734,,public,FC3F4F227812B02F8BB5CDED1A182222,9537DDD4AE3D1FB8AF12C6263B67F9C8
ERR636123,2016-01-01 05:21:54,2017-09-27 23:11:54,100105718,20221355036,100105718,202,14642,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/636/ERR636123.sralite.1,ERX592682,DKCr_11_1207,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554001,SAMEA2784266,simple,81985,Capsella rubella,SAMEA2784266,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,44DC78CD81B47CF9E6918A7B3C223ED4,DFC7183FEED92158BFCB7415755E0F62
ERR636124,2016-01-01 05:21:54,2016-01-01 05:28:41,40236079,12151295858,40236079,302,7144,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/636/ERR636124/ERR636124.sralite.1,ERX592683,DKCr_12_1208,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina Genome Analyzer II,ERP006251,PRJEB6689,,307389,ERS554002,SAMEA2784267,simple,81985,Capsella rubella,SAMEA2784267,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,4849370D70781BB1E3BD53C3024292D1,EA5EC6FD95B1E7307BB8FE10AF4507A8
ERR636125,2016-01-01 05:21:54,2017-09-27 20:58:16,0,0,0,0,10316,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/636/ERR636125.sralite.1,ERX592684,DKCr_13_1209,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554003,SAMEA2784268,simple,81985,Capsella rubella,SAMEA2784268,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,8481171925D967EB5322DECE232DBDE0,38CC36F713A5B99D254669976A4D79B5
ERR636126,2016-01-01 05:21:54,2017-09-27 18:33:36,26636145,5380501290,26636145,202,3871,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/636/ERR636126.sralite.1,ERX592685,DKCr_14,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554004,SAMEA2784269,simple,81985,Capsella rubella,SAMEA2784269,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,9193110DACD5CC3A9F050954225C2CE8,1ACEA4F78924DAEA3BF60C83D75E41E2
ERR636127,2016-01-01 05:21:54,2016-01-01 05:24:34,34115327,10302828754,34115327,302,6223,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/636/ERR636127/ERR636127.sralite.1,ERX592686,DKCr_15_1311,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina Genome Analyzer II,ERP006251,PRJEB6689,,307389,ERS554005,SAMEA2784270,simple,81985,Capsella rubella,SAMEA2784270,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,2D95C473879668876E8EBD3CCDC6A756,DC418ED0F57BB64DB2F1044118AA0504
ERR636128,2016-01-01 05:21:54,2017-09-27 19:09:16,0,0,0,0,7842,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/636/ERR636128.sralite.1,ERX592687,DKCr_16_1377,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554006,SAMEA2784271,simple,81985,Capsella rubella,SAMEA2784271,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,824E4A11589DEED941C1E54DF3ED6EB2,D81A9286486887CD8E705BA5386EC932
ERR636129,2016-01-01 05:21:54,2017-09-28 12:12:07,0,0,0,0,12500,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/636/ERR636129.sralite.1,ERX592688,DKCr_168_78.1,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554007,SAMEA2784272,simple,81985,Capsella rubella,SAMEA2784272,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,E94149BBE78E35C6EC92D79C58680933,E1564A153022811B7C88E2B04678411F
ERR636130,2016-01-01 05:21:54,2016-01-01 05:28:34,30973267,9353926634,30973267,302,5480,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/636/ERR636130/ERR636130.sralite.1,ERX592689,DKCr_1_690,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina Genome Analyzer II,ERP006251,PRJEB6689,,307389,ERS554008,SAMEA2784273,simple,81985,Capsella rubella,SAMEA2784273,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,72EE91BA13890D81ED06F5B42902DF47,2714FA550BB7B610868F85E8FE6AEEF5
ERR636131,2016-01-01 05:21:54,2017-09-27 21:37:38,56066037,11325339474,56066037,202,8117,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/636/ERR636131.sralite.1,ERX592690,DKCr_171_83.10.,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554009,SAMEA2784274,simple,81985,Capsella rubella,SAMEA2784274,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,912604FDAA677064ED232631074E932B,926AB5AAC1DB57E50801F08274414DFD
