Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3884813,2017-02-24 00:01:40,2016-07-13 05:38:32,72949541,13130917380,72949541,180,10121,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/884/SRR3884813/SRR3884813.sralite.1,SRX1940493,13X,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078382,PRJNA321100,2,321100,SRS1559319,SAMN05383996,simple,2711,Citrus sinensis,13X,,,,,,,no,,,,,HUAZHONG AGRICULTURE UNIVERSITY,SRA440061,,public,C53E89E1487E4D7C72A7E1E62EA1A80F,E257D29E93D2678995F4BFDA5C79E8C2
SRR10168410,2020-10-01 00:02:27,2019-09-24 02:19:54,24822957,7446887100,24822957,300,2309,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10168/SRR10168410/SRR10168410.lite.1,SRX6893175,190MT1,RNA-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP223041,PRJNA573296,,573296,SRS5426096,SAMN12810510,simple,2711,Citrus sinensis,190 MT,,,,,,,no,,,,,HUAZHONG AGRICULTURE UNIVERSITY,SRA967020,,public,5D568B4DCB59D9D1F5FD403F8FA6E698,28C077F05D709F047B3862C4072B7D34
SRR10168408,2020-10-01 00:02:27,2019-09-24 02:14:55,26188138,7856441400,26188138,300,2489,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10168/SRR10168408/SRR10168408.lite.1,SRX6893173,190WT2,RNA-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP223041,PRJNA573296,,573296,SRS5426060,SAMN12807647,simple,2711,Citrus sinensis,190 WT,,,,,,,no,,,,,HUAZHONG AGRICULTURE UNIVERSITY,SRA967018,,public,DA3FDB04CB86BA7CC70D4E1C31BEE17D,0F1AF46568950EC3718710904B1C6E96
SRR10168409,2020-10-01 00:02:27,2019-09-24 02:18:06,21986521,6595956300,21986521,300,2048,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10168/SRR10168409/SRR10168409.lite.1,SRX6893174,190WT3,RNA-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP223041,PRJNA573296,,573296,SRS5426060,SAMN12807647,simple,2711,Citrus sinensis,190 WT,,,,,,,no,,,,,HUAZHONG AGRICULTURE UNIVERSITY,SRA967019,,public,5CDD0B3BCE173EFEDB89F49F53E9AF65,B8D48620937D6033D46257BF25A7F11E
SRR3926732,2017-02-24 00:01:41,2016-07-16 03:51:05,72086078,12975494040,72086078,180,9569,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/926/SRR3926732/SRR3926732.sralite.1,SRX1952809,29B,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078382,PRJNA321100,2,321100,SRS1566562,SAMN05411283,simple,2711,Citrus sinensis,29B,,,,,,,no,,,,,HUAZHONG AGRICULTURE UNIVERSITY,SRA441006,,public,CEA9500F828EB120BFFC353019D5D914,77AD6E700B6F92B8046116CD59A66EF2
SRR19897955,2022-08-03 11:05:58,2022-06-29 13:48:13,15162,2179372,15162,143,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19897/SRR19897955/SRR19897955.lite.1,SRX15940829,Doppio Sanguigno_32Da-gel,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP384185,PRJNA853727,,853727,SRS13627855,SAMN29401898,simple,2711,Citrus sinensis,32Da-gel,,,,,,,no,,,,,CREA,SRA1446013,,public,4D073858B96168A67F073E86C771679B,1D6AAC69413264F959443F1EBF1C2E79
SRR19897954,2022-08-03 11:05:58,2022-06-29 13:48:14,21287,3024644,21287,142,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19897/SRR19897954/SRR19897954.lite.1,SRX15940830,Doppio Sanguigno_34Da-gel,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP384185,PRJNA853727,,853727,SRS13627857,SAMN29401899,simple,2711,Citrus sinensis,34Da-gel,,,,,,,no,,,,,CREA,SRA1446013,,public,D2C31474DED4340406DC15E46F42FED8,F4A0FD7E8A50AC4F931D2B3976734403
SRR19897943,2022-08-03 11:05:59,2022-06-29 13:48:09,15819,2277321,15819,143,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19897/SRR19897943/SRR19897943.lite.1,SRX15940841,Doppio Sanguigno_4DK-gel,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP384185,PRJNA853727,,853727,SRS13627868,SAMN29401900,simple,2711,Citrus sinensis,4DK-gel,,,,,,,no,,,,,CREA,SRA1446013,,public,A575C433A06DCEC23ECFAD3481F25F2D,D1AB67875A3E19E87842F61BE3036FFD
SRR3884831,2017-02-24 00:01:40,2016-07-13 06:59:19,58857907,14714476750,58857907,250,7784,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/884/SRR3884831/SRR3884831.sralite.1,SRX1940509,A20,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078382,PRJNA321100,2,321100,SRS1559346,SAMN05384023,simple,2711,Citrus sinensis,A20,,,,,,,no,,,,,HUAZHONG AGRICULTURE UNIVERSITY,SRA440071,,public,50D9B287324194A10889B24E3F7E9A20,33E9FDE7C20B587E7C862D644A910AE5
SRR10321654,2020-10-01 00:03:25,2019-10-24 00:58:00,58886657,17665997100,58886657,300,5472,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10321/SRR10321654/SRR10321654.lite.1,SRX7032465,AJTC6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP078382,PRJNA321100,2,321100,SRS5552564,SAMN13053971,simple,2711,Citrus sinensis,AJTC6,,,,,,,no,,,,,HUAZHONG AGRICULTURAL UNIVERSITY,SRA982847,,public,55C5969C32873A091F8379EEC3CE5D80,0235593CFD55E4B1D0596528648E0BDB
