Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR9592930,2019-07-01 01:00:55,2019-06-24 21:15:27,2336330,584082500,2336330,250,240,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/592/SRR9592930.sralite.1,SRX6358674,1-2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021351,SAMN12129949,simple,3659,Cucumis sativus,1-2,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,87DBA799B80BC53C73798C61507F537D,A607299FE0E030F4969F3D958F89913B
SRR9592913,2019-07-01 01:00:56,2019-06-24 21:15:57,3148961,787240250,3148961,250,322,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/592/SRR9592913.sralite.1,SRX6358691,10-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021368,SAMN12129931,simple,3659,Cucumis sativus,10-3,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,284872244165594FD81F2E722E7495DA,2E21CEACD1FC86C05D6E4597FF7587B6
SRR9592910,2019-07-01 01:00:56,2019-06-24 21:14:55,1463378,365844500,1463378,250,142,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/592/SRR9592910.sralite.1,SRX6358694,100-1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021371,SAMN12129928,simple,3659,Cucumis sativus,100-1,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,402444DFBC83ECB0DE4F76275F9266A8,6368C14A2E3FD3F3463E647972F2A03D
SRR9592911,2019-07-01 01:00:56,2019-06-24 21:14:52,1761633,440408250,1761633,250,171,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/592/SRR9592911.sralite.1,SRX6358693,101-1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021370,SAMN12129929,simple,3659,Cucumis sativus,101-1,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,54072BBFFC65305D433BAC463387D607,247CAA1748E9B31EC3E4A566B5EBB556
SRR9592912,2019-07-01 01:00:56,2019-06-24 21:15:26,2234756,558689000,2234756,250,230,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/592/SRR9592912.sralite.1,SRX6358692,102-2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021369,SAMN12129930,simple,3659,Cucumis sativus,102-2,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,E1CD45CDC8757ECB2FEE3B7333CC29B7,D19D9A402A56A8DBF126947C70FDC503
SRR9592914,2019-07-01 01:00:56,2019-06-24 21:15:13,1684819,421204750,1684819,250,169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/592/SRR9592914.sralite.1,SRX6358690,103-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021367,SAMN12129932,simple,3659,Cucumis sativus,103-3,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,6AECFCE2ABB35D3BD7573120AF10A0EE,7AA605110B11D49068BA137C13FBE0C2
SRR9592915,2019-07-01 01:00:56,2019-06-24 21:14:47,1576097,394024250,1576097,250,156,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/592/SRR9592915.sralite.1,SRX6358689,104-2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021366,SAMN12129933,simple,3659,Cucumis sativus,104-2,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,4D2B8B5A91CAA83A87499026CB1C3349,3497E07F103FC335B21A92F78AB9D30E
SRR11300862,2020-03-13 01:25:54,2020-03-12 23:49:08,64970357,19491107100,64970357,300,7278,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/300/SRR11300862.sralite.1,SRX7906189,104Y,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP252648,PRJNA612392,,612392,SRS6313799,SAMN14371239,simple,3659,Cucumis sativus,104Y,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA1054456,,public,B5B6C8DE3E3EAD8059FE3193939CA938,5690F22F88A8D0EBF8584D164CF4C4DB
SRR9592916,2019-07-01 01:00:56,2019-06-24 21:14:51,1506250,376562500,1506250,250,147,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/592/SRR9592916.sralite.1,SRX6358688,105-1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021365,SAMN12129934,simple,3659,Cucumis sativus,105-1,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,77ED8D7F727FA6FDF5F16509851D6AF1,CCCC72FD2296E2B25093CA58AA764CA2
SRR9592917,2019-07-01 01:00:56,2019-06-24 21:15:25,2204736,551184000,2204736,250,222,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/592/SRR9592917.sralite.1,SRX6358687,106-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021364,SAMN12129935,simple,3659,Cucumis sativus,106-3,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,00A6FA0FF7885A65E581D92EFFFA5C90,55EF9756DC3583BE62A782F3077A9C7F
SRR9592908,2019-07-01 01:00:56,2019-06-24 21:15:27,2222583,555645750,2222583,250,220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/592/SRR9592908.sralite.1,SRX6358696,107-2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP211885,PRJNA550460,,550460,SRS5021373,SAMN12129936,simple,3659,Cucumis sativus,107-2,,,,,,,no,,,,,NANJING AGRICULTURAL UNIVERSITY,SRA913124,,public,A660F52552BCE727426421B7F3AD6480,10E807FEFA255205AA4D969CCE9110FA
