Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR16002691,2021-10-01 00:15:15,2021-09-22 01:58:29,376991842,113851536284,376991842,302,34064,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16002/SRR16002691/SRR16002691.lite.1,SRX12290353,04C009P005_Genomic-LIB01,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP338122,PRJNA765054,,765054,SRS10264236,SAMN21542419,simple,3747,Fragaria x ananassa,04C009P005_Genomic,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA1298168,,public,B614086A472EECC4687CBF06E9075C0A,FB015EA5F574ADA988469A3BA26B7116
SRR16002682,2021-10-01 00:15:16,2021-09-22 00:56:33,299330230,90397729460,299330230,302,27284,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16002/SRR16002682/SRR16002682.lite.1,SRX12290362,05C099P006_Genomic-LIB02,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP338122,PRJNA765054,,765054,SRS10264237,SAMN21542420,simple,3747,Fragaria x ananassa,05C099P006_Genomic,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA1298168,,public,682076A2B9B3632A67208FDFB76EB522,73C29915A49D120C86D57584E4B39C17
SRR16002690,2021-10-01 00:15:15,2021-09-21 22:03:40,75649612,22846182824,75649612,302,6730,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16002/SRR16002690/SRR16002690.lite.1,SRX12290354,05C099P006_Genomic-LIB01,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP338122,PRJNA765054,,765054,SRS10264237,SAMN21542420,simple,3747,Fragaria x ananassa,05C099P006_Genomic,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA1298168,,public,2A0D9B61BF4F6F43730DEAF5C4835EFB,BEC1862341057366F5DB7B8C6277CFD4
SRR7445879,2018-06-28 04:37:14,2018-06-28 04:35:41,573792,87216384,573792,152,32,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/445/SRR7445879.sralite.1,SRX4316439,Albion-A-01,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151521,PRJNA478299,,478299,SRS3479463,SAMN09509129,simple,3747,Fragaria x ananassa,Albion-A-01,,,,,,,no,,,,,SUNCHON NATIONAL UNIVERSITY,SRA730092,,public,76DE0E7587DFF4A79F8571205800F5A6,425C1A201F31871DDAABE0A8200A8BA4
SRR7445878,2018-06-28 04:37:14,2018-06-28 04:35:37,565449,85948248,565449,152,32,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/445/SRR7445878.sralite.1,SRX4316440,Albion-A-02,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151521,PRJNA478299,,478299,SRS3479464,SAMN09509130,simple,3747,Fragaria x ananassa,Albion-A-02,,,,,,,no,,,,,SUNCHON NATIONAL UNIVERSITY,SRA730092,,public,95E54E446BE5614C6B5B3F36C4804C2D,420D3289C9763FE20B4F4FB621689BD4
SRR7445887,2018-06-28 04:37:13,2018-06-28 04:35:43,651253,98990456,651253,152,37,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/445/SRR7445887.sralite.1,SRX4316431,Albion-A-03,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151521,PRJNA478299,,478299,SRS3479455,SAMN09509131,simple,3747,Fragaria x ananassa,Albion-A-03,,,,,,,no,,,,,SUNCHON NATIONAL UNIVERSITY,SRA730092,,public,3977D82AB882B91015FA47D6D89B1123,C9C0CE2D24B05B08DCDC48571FDEFF7C
SRR1513891,2014-07-17 00:00:00,2014-07-15 12:26:27,64798407,13089278214,64798407,202,7746,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/513/SRR1513891/SRR1513891.sralite.1,SRX651545,322,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044273,PRJNA254712,,254712,SRS659347,SAMN02904947,simple,3747,Fragaria x ananassa,CA65.65-601 CFRA322,,,,,,,no,,,,,WASHINGTON STATE UNIVERSITY,SRA174814,,public,B93E19055BB50468A8853BBC1AD2044F,5BB4BD7C9250EB177158A5E69B604411
SRR8449610,2019-03-01 01:01:15,2019-01-16 21:45:55,35772,401561852,0,11225,267,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449610/SRR8449610.lite.1,SRX5256781,Fxa_1AAAC_69,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,1490209F9DD3B2480A658C27D193645B,8FFB147A84188774246C61BD2A990071
SRR8449611,2019-03-01 01:01:15,2019-01-16 21:44:42,32184,328682342,0,10212,220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449611/SRR8449611.lite.1,SRX5256780,Fxa_1AAAC_70,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,9BFFCD633E2D502DD8AB7F841191827E,60C50D93A015A683A9F9D722AD33DE74
SRR8449612,2019-03-01 01:01:15,2019-01-16 21:44:58,31965,349107268,0,10921,232,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449612/SRR8449612.lite.1,SRX5256779,Fxa_1AAAC_67,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,F19C4B489AA84B191F4BFFAD1C189753,F0551F969422E9D523D418910FDB6AAB
SRR8449613,2019-03-01 01:01:15,2019-01-16 21:45:44,30763,336721579,0,10945,224,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR008/8449/SRR8449613/SRR8449613.lite.1,SRX5256778,Fxa_1AAAC_68,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,DA7B117FD742FDE4D969713E8271E5F5,6FF3B3C9756371576C59B352ED0851FD
SRR8449614,2019-03-01 01:01:15,2019-01-16 21:45:55,33158,429755374,0,12960,286,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449614/SRR8449614.lite.1,SRX5256777,Fxa_1AAAC_7,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,6738DF220E610AE9518E80BAE0751C11,DD84C26BEF7E836CCE4BB45F098E3FB2
SRR8449615,2019-03-01 01:01:15,2019-01-16 21:46:43,37380,437647794,0,11708,290,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449615/SRR8449615.lite.1,SRX5256776,Fxa_1AAAC_66,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,6C548B6E7F62039DEA214944EB3887DB,FA5A81898236F305F26B9DF78BDB8586
SRR8449616,2019-03-01 01:01:15,2019-01-16 21:45:36,36833,437956493,0,11890,294,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449616/SRR8449616.lite.1,SRX5256775,Fxa_1AAAC_63,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,58E59AE42F0BA6DC8BCC02178AF67F6A,BF88EDF538E678D4B80B250E9B0575E7
SRR8449617,2019-03-01 01:01:15,2019-01-16 21:44:51,33062,373663307,0,11301,248,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449617/SRR8449617.lite.1,SRX5256774,Fxa_1AAAC_64,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,1C3F63C4FD56DBD0516DAA974CBC012A,E1FB3AE78D2B172CF98621C256427704
SRR8449618,2019-03-01 01:01:15,2019-01-16 21:47:31,38040,452026509,0,11882,303,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449618/SRR8449618.lite.1,SRX5256773,Fxa_1AAAC_61,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,33D6D9A81C7463D5EEEEED8269B5ADFF,8F5B84B0F4288B2B57643D56BA59887F
SRR8449619,2019-03-01 01:01:15,2019-01-16 21:46:53,33123,389837622,0,11769,261,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449619/SRR8449619.lite.1,SRX5256772,Fxa_1AAAC_62,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,817B4AD69DAEFE21DCA3094058629369,0FE0EF7669AB125717706667219B1517
SRR8449620,2019-03-01 01:01:15,2019-01-16 21:45:06,28296,264638267,0,9352,176,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449620/SRR8449620.lite.1,SRX5256771,Fxa_1AAAC_147,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,4FD326991ABA1CC0E5AF75B7D65741C6,E721A84F22DF4200B50D15E863C28BA4
SRR8449621,2019-03-01 01:01:15,2019-01-16 21:45:28,54829,462871340,0,8442,310,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449621/SRR8449621.lite.1,SRX5256770,Fxa_1AAAC_1,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,0D631237059245F61F185FEABF4B7A8E,CC9209A974C8BF82AEA95E9D0890AA5F
SRR8449622,2019-03-01 01:01:15,2019-01-16 21:43:53,25186,224126264,0,8898,149,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449622/SRR8449622.lite.1,SRX5256769,Fxa_1AAAC_95,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,B68E886EA00DF11B414F826CD65E1CF9,1FF220316D6E9C0C1F8C344A80E04D84
SRR8449623,2019-03-01 01:01:15,2019-01-16 21:44:30,24974,248442025,0,9948,169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449623/SRR8449623.lite.1,SRX5256768,Fxa_1AAAC_121,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,478C0A8F613C073ECB5CBE849277D134,C971D076784803FA6F90688BFCC2E4F0
SRR8449624,2019-03-01 01:01:15,2019-01-16 21:45:38,26150,270010158,0,10325,184,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449624/SRR8449624.lite.1,SRX5256767,Fxa_1AAAC_122,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,D858467D15F586D18B274D0AF805E8B0,0B03821929515BC919025DAD3BA22DD0
SRR8449625,2019-03-01 01:01:15,2019-01-16 21:48:45,33195,357847144,0,10780,243,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449625/SRR8449625.lite.1,SRX5256766,Fxa_1AAAC_123,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,983A8277DB45F03A10453AB11A551E4B,612A30DFB052A803FB1EC4DBAA21FF10
SRR8449626,2019-03-01 01:01:15,2019-01-16 21:47:35,35661,465474727,0,13052,316,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449626/SRR8449626.lite.1,SRX5256765,Fxa_1AAAC_124,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,5505A4C46B575FFA5A74317A6C2B1A60,2429478A235524A6BDEF1CC332C87841
SRR8449627,2019-03-01 01:01:15,2019-01-16 21:48:06,31766,410221467,0,12913,278,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449627/SRR8449627.lite.1,SRX5256764,Fxa_1AAAC_125,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,E03A48773C9D2B58A9BE79C13D2F2AEB,40CEDCA44CD95C5DA0FB0031152C333E
SRR8449628,2019-03-01 01:01:14,2019-01-16 21:47:04,34038,448503409,0,13176,303,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449628/SRR8449628.lite.1,SRX5256763,Fxa_1AAAC_126,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,FA22BCD79F095501F19E5E9CDF91A962,78DB5B6F634A76858752B8534713E1F4
SRR8449629,2019-03-01 01:01:14,2019-01-16 21:42:54,19488,170715630,0,8760,115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449629/SRR8449629.lite.1,SRX5256762,Fxa_1AAAC_127,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,78B20D220D81FEB5F8A723BCC755476C,FC833884D77E83E59FCFC4614A79190B
SRR8449630,2019-03-01 01:01:14,2019-01-16 21:44:09,19812,179914851,0,9081,122,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449630/SRR8449630.lite.1,SRX5256761,Fxa_1AAAC_128,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,B42884D529E0A56FF169A99DF562451B,77298C9F1ACFC85F69487435E880E1D1
SRR8449631,2019-03-01 01:01:14,2019-01-16 21:45:23,30759,300607554,0,9772,203,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449631/SRR8449631.lite.1,SRX5256760,Fxa_1AAAC_129,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,9639AEFA37CB504AB5BAFBD7B7C4CA0F,3BD567E6E30F7A294836E8AD1FCDEC67
SRR8449632,2019-03-01 01:01:14,2019-01-16 21:48:14,34043,422991827,0,12425,286,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449632/SRR8449632.lite.1,SRX5256759,Fxa_1AAAC_130,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,5A890EAFF956FF004CE2069C6648E158,E2295BDD1F4F1C25D0A1835D2EED54C9
SRR8449633,2019-03-01 01:01:14,2019-01-16 21:48:53,44794,629110123,0,14044,423,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449633/SRR8449633.lite.1,SRX5256758,Fxa_1AAAC_6,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,A706CB139A2EBBCBA68FF6F56E9D6A2F,944EF85481ABBB6028151B30CC090B21
SRR8449634,2019-03-01 01:01:14,2019-01-16 21:45:56,32794,372299624,0,11352,247,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449634/SRR8449634.lite.1,SRX5256757,Fxa_1AAAC_65,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,90A1E8AE98F0B9C12CEA34B5E0A59425,A38E8DE90923F88C19F751C45183285B
SRR8449635,2019-03-01 01:01:14,2019-01-16 21:48:26,34968,437642451,0,12515,290,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449635/SRR8449635.lite.1,SRX5256756,Fxa_1AAAC_20,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,26E83CFAF1AF4FE050FCA70928101F2A,B3936AB9D296A3635989E70A58A81A6E
SRR8449636,2019-03-01 01:01:14,2019-01-16 21:48:24,37008,462275618,0,12491,305,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449636/SRR8449636.lite.1,SRX5256755,Fxa_1AAAC_19,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,25F2A7A4C9F8E31FAA3ADE977B009BE8,CC8C86ECAED84608E892BE2BE805B7B4
SRR8449637,2019-03-01 01:01:14,2019-01-16 21:45:55,37430,473539294,0,12651,315,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/8449/SRR8449637/SRR8449637.lite.1,SRX5256754,Fxa_1AAAC_14,WGS,size fractionation,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP179803,PRJNA515394,,515394,SRS4258086,SAMN10754510,simple,3747,Fragaria x ananassa,Camarosa,,,,,hermaphrodite,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA835493,,public,26AF0DBCEA0713F644CF26F8019A49FD,1FDC23240B7F2A3F34E46DF0F432D1D6
