Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14373968,2022-04-18 00:00:26,2021-05-01 08:44:03,201243,92901029,201243,461,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14373/SRR14373968/SRR14373968.lite.1,SRX10726275,Leaves,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP255562,PRJNA623517,,623517,SRS8815913,SAMN18953574,simple,4236,Lactuca sativa,1234,,,,,,,no,,,,,RHODES UNIVERSITY,SRA1226309,,public,D7F3240C0350612FFF9366AD63E2A7D9,375867CAA1FC90D4F366EE34C65081D1
SRR9874296,2019-12-31 00:06:44,2019-07-31 16:51:07,41064832,12319449600,41064832,300,4893,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/874/SRR9874296.sralite.1,SRX6627109,14G1227 gDNA exp1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP216967,PRJNA557490,,557490,SRS5186646,SAMN12407731,simple,4236,Lactuca sativa,14G1227,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA929541,,public,900F41869FFB57098A71CEF93C576643,73650E3320FD778153D37FC7B7447582
SRR6509446,2018-06-30 00:07:35,2018-01-24 17:12:54,68872,6887200,0,100,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/509/SRR6509446/SRR6509446.sralite.1,SRX3597752,151231-002_S1,AMPLICON,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP131241,PRJNA429829,,429829,SRS2866035,SAMN08361606,simple,4236,Lactuca sativa,151231-002_S1,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,72F1807D296FBEAD5E770E3C555FCA06,C0D334F968FDFDE17BFB9E607A42C961
SRR6509530,2018-06-30 00:07:39,2018-01-24 17:13:21,3611,1061179,3611,293,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/509/SRR6509530.sralite.1,SRX3597928,151231-003_1,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131241,PRJNA429829,,429829,SRS2863304,SAMN08361239,simple,4236,Lactuca sativa,151231-003_1,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,9EEC7DC53371947DC2EAAD6A38947A85,091573C9C8F94AA51CEEF1F5A383267E
SRR6509535,2018-06-30 00:07:39,2018-01-24 17:13:21,3946,1156956,3946,293,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/509/SRR6509535.sralite.1,SRX3597923,151231-003_10,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131241,PRJNA429829,,429829,SRS2863295,SAMN08361244,simple,4236,Lactuca sativa,151231-003_10,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,DD55860C6D359AD0A6C1B00A1683C51B,29D0C2C4B4FE05E39B621358A911F439
SRR6509536,2018-06-30 00:07:39,2018-01-24 17:13:25,5607,1641729,5607,292,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/509/SRR6509536.sralite.1,SRX3597922,151231-003_11,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131241,PRJNA429829,,429829,SRS2863294,SAMN08361245,simple,4236,Lactuca sativa,151231-003_11,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,CAF4415DFFE236600940DECE45C0F8FE,0127F7858733D3B5E42B1AC8B8AF5B49
SRR6509537,2018-06-30 00:07:39,2018-01-24 17:13:24,5366,1573740,5366,293,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/509/SRR6509537/SRR6509537.sralite.1,SRX3597921,151231-003_13,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131241,PRJNA429829,,429829,SRS2863293,SAMN08361246,simple,4236,Lactuca sativa,151231-003_13,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,AF7CB001D2547D359FD761FB64B23D8C,C15E89D2BA823B2C284CCDE3C40731C4
SRR6509415,2018-06-30 00:07:35,2018-01-24 17:12:25,3181,929887,3181,292,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/509/SRR6509415.sralite.1,SRX3597784,151231-003_14,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131241,PRJNA429829,,429829,SRS2863251,SAMN08361247,simple,4236,Lactuca sativa,151231-003_14,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,B486237FC39C60B4A98F7865B5166DB1,D83AD11D5EBFC4DAC0D5449E6546AD39
SRR6509548,2018-06-30 00:07:39,2018-01-24 17:13:26,4811,1409477,4811,292,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/509/SRR6509548.sralite.1,SRX3597910,151231-003_15,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131241,PRJNA429829,,429829,SRS2863299,SAMN08361248,simple,4236,Lactuca sativa,151231-003_15,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,B96B710008C9DB9E1A4E9FACA967A364,EB8577E53DAD62083134FA8495073FDF
SRR6509594,2018-06-30 00:07:37,2018-01-24 17:13:48,1072,309981,1072,289,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/509/SRR6509594.sralite.1,SRX3597864,151231-003_2,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131241,PRJNA429829,,429829,SRS2866009,SAMN08361240,simple,4236,Lactuca sativa,151231-003_2,,,,,,,no,,,,,UC DAVIS GENOME CENTER,SRA652116,,public,6F3FC35F79241685D59EAFBD2B42E905,F7959CECD726F05175D6E87E70AB225B
