Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10403696,2020-08-15 12:59:09,2019-11-06 16:11:13,17353,5224354,17353,301,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10403/SRR10403696/SRR10403696.lite.1,SRX7103080,36YVzt,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615229,SAMN13222160,simple,410658,soil metagenome,100,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA991885,,public,F9925D492B1298FB0CC39F283CB323EF,0872489F41B984D6525FC68CD89CE1A4
SRR10412924,2020-08-15 12:59:06,2019-11-07 12:26:58,22577,11280424,22577,499,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10412/SRR10412924/SRR10412924.lite.1,SRX7111244,100,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615229,SAMN13222160,simple,410658,soil metagenome,100,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA992380,,public,3732320DAF8571E2EAA83AB9AA32140D,754AAFC58F97141724C45BB0FAD9AC9D
SRR10403685,2020-08-15 12:59:09,2019-11-06 16:11:09,21350,6427876,21350,301,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10403/SRR10403685/SRR10403685.lite.1,SRX7103091,53QDtw,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615240,SAMN13222161,simple,410658,soil metagenome,101,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA991885,,public,94984028183C10EB38DCDF600B9240CA,743581987ECFA231CD2675CD2C7229A8
SRR10413068,2020-08-15 12:59:10,2019-11-07 12:28:11,26287,12989970,26287,494,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10413/SRR10413068/SRR10413068.lite.1,SRX7111100,101,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615240,SAMN13222161,simple,410658,soil metagenome,101,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA992380,,public,B4A58E76E8723257D3AABCA3840ED6AA,237AB06B0F16A4C8746E37F47CADFA77
SRR10413067,2020-08-15 12:59:10,2019-11-07 12:28:09,48414,24176869,48414,499,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10413/SRR10413067/SRR10413067.lite.1,SRX7111101,102,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615251,SAMN13222162,simple,410658,soil metagenome,102,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA992380,,public,BAC9ECBBA0112B8CAB0E1CE895618446,062E8BE300FC85B60BC4BEF71F95E2D8
SRR10403674,2020-08-15 12:59:09,2019-11-06 16:11:05,22116,6658566,22116,301,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10403/SRR10403674/SRR10403674.lite.1,SRX7103102,17BVwb,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615251,SAMN13222162,simple,410658,soil metagenome,102,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA991885,,public,45BA9530C0ED8D41B1407F840ED1E05D,34ED2ABCAD5C7F047C0137B5FF8CA585
SRR10403663,2020-08-15 12:59:09,2019-11-06 16:11:01,89189,26849589,89189,301,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/10403/SRR10403663/SRR10403663.lite.1,SRX7103113,77DFua,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615262,SAMN13222163,simple,410658,soil metagenome,103,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA991885,,public,1FC094EC7F4085CBD4311DA770AEFAE9,0D4E5426D210B5A29F6249EB28C9771D
SRR10413066,2020-08-15 12:59:10,2019-11-07 12:28:06,24605,12247142,24605,497,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10413/SRR10413066/SRR10413066.lite.1,SRX7111102,103,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615262,SAMN13222163,simple,410658,soil metagenome,103,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA992380,,public,23A00116CF45632F1B803661929E613F,FE41DC61F17EFBF710A640CF9274CF77
SRR10413065,2020-08-15 12:59:10,2019-11-07 12:28:04,23172,10486599,23172,452,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10413/SRR10413065/SRR10413065.lite.1,SRX7111103,104,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615273,SAMN13222164,simple,410658,soil metagenome,104,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA992380,,public,049C067A8E35D10BEFDAD04E943DE394,9FFD92FF5740425550F1FDEA173D04F1
SRR10403652,2020-08-15 12:59:09,2019-11-06 16:10:51,44439,13378957,44439,301,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10403/SRR10403652/SRR10403652.lite.1,SRX7103124,41ODcz,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP228704,PRJNA588061,,588061,SRS5615273,SAMN13222164,simple,410658,soil metagenome,104,,,,,,,no,,,,,UNIVERSITY OF SASKATCHEWAN,SRA991885,,public,15A0037B65990E03D7C065C049948DA2,399E38ADB61F48B2C63D0D93CDA041B6
