Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR15292607,2021-07-29 00:33:07,2021-07-29 00:28:49,70408,31569104,0,448,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292607/SRR15292607.lite.1,SRX11597428,Chenlab170,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634114,SAMN20474126,simple,3983,Manihot esculenta,045R-1,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,4DB66383DABE1171016723BF2107C993,B03FD25672E78A01F25E9BB2DA8EFADA
SRR15292605,2021-07-29 00:33:07,2021-07-29 00:28:49,84338,37873063,0,449,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292605/SRR15292605.lite.1,SRX11597430,Chenlab171,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634116,SAMN20474127,simple,3983,Manihot esculenta,045R-2,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,4F9D926155341649059B2E1A6C1A12F0,86153D4139FB24D96CD2DD858B964698
SRR15292604,2021-07-29 00:37:34,2021-07-29 00:28:49,79019,35728385,0,452,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292604/SRR15292604.lite.1,SRX11597431,Chenlab172,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634117,SAMN20474128,simple,3983,Manihot esculenta,045R-3,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,91562B296A67E24BD878C7E887C46988,D789F6098344CA27D59590E7EFE2A9F9
SRR15292610,2021-07-29 00:34:49,2021-07-29 00:28:49,68997,30721946,0,445,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292610/SRR15292610.lite.1,SRX11597425,Chenlab167,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634111,SAMN20474123,simple,3983,Manihot esculenta,045T-1,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,3276264CEA871218257ADF4DA9124A74,09E185295C8DE2159D2E54D280E55C08
SRR15292609,2021-07-29 00:37:34,2021-07-29 00:28:57,107462,47792424,0,444,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292609/SRR15292609.lite.1,SRX11597426,Chenlab168,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634112,SAMN20474124,simple,3983,Manihot esculenta,045T-2,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,295B8488E3B884B16B5A979E09BCCDC1,03802FF13B73FB8081EEBAB31AF454E3
SRR15292608,2021-07-29 00:33:07,2021-07-29 00:28:56,76062,33873302,0,445,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292608/SRR15292608.lite.1,SRX11597427,Chenlab169,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634113,SAMN20474125,simple,3983,Manihot esculenta,045T-3,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,FCE8B324BD41632F25E8F26C98AA4295,72EDD2E4ADCFE39E3304233F9A313A72
SRR15292593,2021-07-29 00:34:49,2021-07-29 00:28:50,98892,44246259,0,447,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292593/SRR15292593.lite.1,SRX11597442,Chenlab182,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634125,SAMN20474138,simple,3983,Manihot esculenta,1110R-1,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,08C8BC698F3D55D6C787CB340F0BFAD1,D6CBE8107C7D4F3641AE9EF5B18D3ACB
SRR15292592,2021-07-29 00:33:07,2021-07-29 00:28:54,97762,44169097,0,451,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292592/SRR15292592.lite.1,SRX11597443,Chenlab183,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634126,SAMN20474139,simple,3983,Manihot esculenta,1110R-2,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,A9BB74CE629F0EEBC65D5AF8437AD0E3,998652347D84C3CE3FE1EBFCA270C182
SRR15292591,2021-07-29 00:37:35,2021-07-29 00:28:57,118053,53354615,0,451,31,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15292/SRR15292591/SRR15292591.lite.1,SRX11597444,Chenlab184,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634127,SAMN20474140,simple,3983,Manihot esculenta,1110R-3,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,461C0B96843D40EC989EE9341580BD8C,822CB4228476C88336A05FD5C880D165
SRR15292597,2021-07-29 00:37:35,2021-07-29 00:28:53,96355,42928349,0,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15292/SRR15292597/SRR15292597.lite.1,SRX11597438,Chenlab179,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP330362,PRJNA750582,,750582,SRS9634122,SAMN20474135,simple,3983,Manihot esculenta,1110T-1,,,,,,,no,,,,,HAINAN UNIVERSITY,SRA1266472,,public,3D3C4B8D18139A2A387F98CB12BE1878,D647B346401C9B11F1FC6F5B884724C4
