Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR20307482,2022-07-19 15:57:58,2022-07-19 15:15:57,563655955,84548393250,0,150,26619,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR020/20307/SRR20307482/SRR20307482.lite.1,SRX16340922,1,WGS,PCR,GENOMIC,PAIRED,0,0,PACBIO_SMRT,PacBio RS,SRP387036,PRJNA771923,,771923,SRS13978866,SAMN29766693,simple,3880,Medicago truncatula,1,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1457645,,public,C63790E892F60CB2C7ABD815542F5BEF,F42DD7585997AB023A4758B0A3119FC1
SRR7592713,2019-08-25 00:33:00,2018-07-25 18:52:59,87747438,10968429750,0,125,3477,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/592/SRR7592713.sralite.1,SRX4457708,A17,Bisulfite-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP155259,PRJNA482866,,482866,SRS3595344,SAMN09715432,simple,3880,Medicago truncatula,A17,,,,,,,no,,,,,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,SRA744771,,public,D4BB6B11A68AF8E4252701BCBA4D5EFD,29248AD5EDBB0C36D17C217B92D2D16E
SRR6122816,2017-10-02 15:22:21,2017-10-02 15:17:11,66058712,12665292986,66058712,191,8589,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/122/SRR6122816/SRR6122816.sralite.1,SRX3235503,CM_NS_651,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559301,SAMN07714057,simple,3880,Medicago truncatula,CM_NS_651,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,BAF1FE0EAD8C9EA2EBA725055C51A703,B4F5F7955B4E53FEB2C023F7C3A3E24A
SRR6122817,2017-10-02 15:50:13,2017-10-02 15:29:44,57017851,10918099172,57017851,191,7404,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/122/SRR6122817.sralite.1,SRX3235502,CM_NS_654,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559300,SAMN07714058,simple,3880,Medicago truncatula,CM_NS_654,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,86BAE4F291D3E3B919A125D9ECD4BB12,2052CAC6669CEC4C520CBBCBF3B419CC
SRR6122814,2017-10-02 15:34:13,2017-10-02 15:24:55,73912700,14074407014,73912700,190,9556,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/122/SRR6122814/SRR6122814.sralite.1,SRX3235505,CM_NS_655,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559303,SAMN07714059,simple,3880,Medicago truncatula,CM_NS_655,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,6902A864287006CA729542A00EF14674,197417BF5C6239DC7F01A7BE271299EE
SRR6122815,2017-10-02 15:39:25,2017-10-02 15:33:49,60362274,11624172412,60362274,192,7931,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/122/SRR6122815/SRR6122815.sralite.1,SRX3235504,CM_NS_656,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559302,SAMN07714060,simple,3880,Medicago truncatula,CM_NS_656,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,0679B545166E9D73289E7B6D5DACBF7A,588B503598E737E7C3ABAE05892CD0B0
SRR6122820,2017-10-02 15:27:18,2017-10-02 15:15:07,63552515,12179046040,63552515,191,8241,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/122/SRR6122820/SRR6122820.sralite.1,SRX3235499,CM_NS_657,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559296,SAMN07714061,simple,3880,Medicago truncatula,CM_NS_657,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,8BC428BA97B19A616BFDBA56B601A345,BA6824694FF97C61B1DC14B003B06F91
SRR6122821,2017-10-02 16:02:11,2017-10-02 15:40:29,53788548,10258690699,53788548,190,6940,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/122/SRR6122821/SRR6122821.sralite.1,SRX3235498,CM_NS_658,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559297,SAMN07714062,simple,3880,Medicago truncatula,CM_NS_658,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,50951DB198DAC54E1E6E2565139FE46E,6BF97FDDDBD79F9B26EC50F19F309A93
SRR6122818,2017-10-02 15:22:21,2017-10-02 15:13:44,69888478,13441274810,69888478,192,9087,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/122/SRR6122818/SRR6122818.sralite.1,SRX3235501,CM_NS_659,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559299,SAMN07714063,simple,3880,Medicago truncatula,CM_NS_659,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,A8FBAD625ABF5223B089CAFAF6F332B5,4D1AC2CC6E7EBE1E05C878A1A78A09B4
SRR6122819,2017-10-02 15:58:15,2017-10-02 15:44:52,68796938,12092445736,68796938,175,8178,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/122/SRR6122819/SRR6122819.sralite.1,SRX3235500,CM_NS_660,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP119203,PRJNA412415,,412415,SRS2559298,SAMN07714064,simple,3880,Medicago truncatula,CM_NS_660,,,,,,,no,,,,,NUZHDIN LAB - UNIVERSITY OF SOUTHERN CALIFORNIA,SRA616160,,public,36DD9512491CD59EB9B0D4253A5EE6F5,7B3B93D837FAE6F5F84391DF82A155A9
