Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR16881770,2022-07-01 00:16:20,2021-11-09 11:29:22,7251843,1088525435,7164210,150,459,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16881/SRR16881770/SRR16881770.lite.1,SRX13074572,1B5,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011922,SAMN22875127,simple,214697,Musa acuminata AAA Group,1-S1-R1,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326012,,public,10418BFF17B63834013B270C42E46991,EE5F91B90E83039074E995845F49E81C
SRR16881827,2022-07-01 00:16:22,2021-11-09 00:28:26,7655042,1156085761,7655042,151,475,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16881/SRR16881827/SRR16881827.lite.1,SRX13074629,1B6,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011978,SAMN22875798,simple,214697,Musa acuminata AAA Group,1-S1-R2,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326041,,public,55AE6932E356393E30C3CBB9581FB90A,11B235183EC94281F6AA37F827B394BA
SRR16881662,2022-07-01 00:16:18,2021-11-09 00:20:23,8268412,1248584020,8268412,151,506,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16881/SRR16881662/SRR16881662.lite.1,SRX13074464,1B7,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011838,SAMN22875126,simple,214697,Musa acuminata AAA Group,1-S1-R3,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1325946,,public,E6EA22314B010F73F377D3051CAFED0D,E95C4E678936B2AFEE44CBA136068924
SRR16881784,2022-07-01 00:16:21,2021-11-09 00:25:30,7616995,1150459887,7616995,151,476,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16881/SRR16881784/SRR16881784.lite.1,SRX13074586,1B8,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011935,SAMN22875799,simple,214697,Musa acuminata AAA Group,1-S1-R4,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326006,,public,F02A25959846D5A4F2A0E48561FB82A8,8B57DF6F7C2580205DA6BE7F94479DFE
SRR16881722,2022-07-01 00:16:19,2021-11-09 00:26:44,8123347,1226872049,8123347,151,504,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16881/SRR16881722/SRR16881722.lite.1,SRX13074524,1B9,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011874,SAMN22875800,simple,214697,Musa acuminata AAA Group,1-S1-R5,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1325970,,public,AC6602CC200D9ABF81DE9F486EA1DE2E,653C3B5902D5DE9B09B5D34AD3E9188D
SRR16881808,2022-07-01 00:16:21,2021-11-09 00:26:06,8732673,1318879415,8732673,151,539,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16881/SRR16881808/SRR16881808.lite.1,SRX13074610,1B12,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011958,SAMN22874742,simple,214697,Musa acuminata AAA Group,1-S4,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326020,,public,CF59A7BFD38AD47178088CE4F43071DD,0E47752A9B7CB688B48A89EF48FF1656
SRR16882083,2022-07-01 00:16:23,2021-11-09 00:31:32,8712561,1316306759,8712561,151,542,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16882/SRR16882083/SRR16882083.lite.1,SRX13074885,1B14,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11012234,SAMN22875098,simple,214697,Musa acuminata AAA Group,1-S6,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326062,,public,992E98079710DE6DDC98B1F7E72AB597,B80A2657AC8D0260638EF444C96931F2
SRR16882088,2022-07-01 00:16:23,2021-11-09 00:31:50,8560110,1293575110,8560110,151,533,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16882/SRR16882088/SRR16882088.lite.1,SRX13074890,1B16,RNA-Seq,Oligo-dT,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11012239,SAMN22875806,simple,214697,Musa acuminata AAA Group,1-S8,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326076,,public,CECC9DBE7183AB1D7864A92C171B0D28,CA07E0A19672B4AE53586B37CE8FFE72
SRR16881689,2022-07-01 00:16:19,2021-11-09 00:20:06,8690943,617654709,0,71,264,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16881/SRR16881689/SRR16881689.lite.1,SRX13074491,1B5-ds,RNA-Seq,Oligo-dT,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011865,SAMN22900724,simple,214697,Musa acuminata AAA Group,1sR-S1-R1,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1325949,,public,F19FB51F0A7D22A430F6D1F7CC022C87,7553082333D6A798094B453430C1C216
SRR16882079,2022-07-01 00:16:23,2021-11-09 00:30:36,10213554,716669992,0,70,307,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16882/SRR16882079/SRR16882079.lite.1,SRX13074881,1B6-ds,RNA-Seq,Oligo-dT,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11012230,SAMN22908951,simple,214697,Musa acuminata AAA Group,1sR-S1-R2,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326073,,public,5FEB005E29B5E27A308F7705D2A8084B,3AE09665693F6B479A1B40B0200CF46F
SRR16881678,2022-07-01 00:16:18,2021-11-09 00:20:24,9772448,672322753,0,68,288,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16881/SRR16881678/SRR16881678.lite.1,SRX13074480,1B7-ds,RNA-Seq,Oligo-dT,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011854,SAMN22908952,simple,214697,Musa acuminata AAA Group,1sR-S1-R3,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1325964,,public,20D06790FA0E7AB3E08695AE7807B030,F59761A5F6952DC60C6C12DBF429A3C9
SRR16881591,2022-07-01 00:16:17,2021-11-09 00:19:50,9514609,664982484,0,69,286,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16881/SRR16881591/SRR16881591.lite.1,SRX13074393,1B8-ds,RNA-Seq,Oligo-dT,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011767,SAMN22908953,simple,214697,Musa acuminata AAA Group,1sR-S1-R4,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1325911,,public,0F09CD272B57A984B0DB7E0753E92A3E,CADA91EAAED2222E2EAAC252DF4F0147
SRR16881907,2022-07-01 00:16:23,2021-11-09 00:28:26,10094094,701261661,0,69,300,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16881907/SRR16881907,SRX13074709,1B9-ds,RNA-Seq,Oligo-dT,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11012058,SAMN22908963,simple,214697,Musa acuminata AAA Group,1sR-S1-R5,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326069,,public,72DD646AFBA7F58FE64F5D109BF24A73,1E3472432A6F540339617301E8B10FC3
SRR16881766,2022-07-01 00:16:20,2021-11-09 00:23:27,8642816,631703343,0,73,267,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16881/SRR16881766/SRR16881766.lite.1,SRX13074568,1B16-ds,RNA-Seq,Oligo-dT,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011917,SAMN22909342,simple,214697,Musa acuminata AAA Group,1sR-S10,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1325969,,public,81E9ACCA046F3102F87FB08CB5BB8712,67A7A961570121F52F99A8EAA9099BF8
SRR16881831,2022-07-01 00:16:22,2021-11-09 00:27:50,9520489,666670626,0,70,285,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16881831/SRR16881831,SRX13074633,1B20-ds,RNA-Seq,Oligo-dT,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP345145,PRJNA777477,,777477,SRS11011982,SAMN22921506,simple,214697,Musa acuminata AAA Group,1sR-S13-R1,,,,,,,no,,,,,"UNIVERSITY OF LIEGE, GEMBOUX AGRO-BIO TECH",SRA1326031,,public,8E457927D3F000DADA65458B5DF9FDBA,D14961B951630A14BDD7BEBAC57D9B38
