Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR9695078,2019-07-16 23:01:27,2019-07-16 22:15:43,4279256,824397624,4279256,192,304,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/695/SRR9695078.sralite.1,SRX6453361,1,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106694,SAMN12257507,simple,4146,Olea europaea,1,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,A0005C9737C945D23679BCC0AB11E72D,16112BC916926954A4C44521E31A6C88
SRR9695087,2019-07-16 23:01:26,2019-07-16 22:15:42,3412845,655266240,3412845,192,240,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/695/SRR9695087.sralite.1,SRX6453352,10,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106685,SAMN12257516,simple,4146,Olea europaea,10,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,D192488980AA454ACCBB23A34B89ED84,977679718C3052EB19DD658D2E9FFD94
SRR9695060,2019-07-16 23:01:27,2019-07-16 22:15:00,3752953,728072882,3752953,194,242,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/695/SRR9695060.sralite.1,SRX6453379,11,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106712,SAMN12257517,simple,4146,Olea europaea,11,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,3F837410A288C96B4A77E891E0417F50,B2B93606B479CC5DF53DAC7F17D7AC9D
SRR9695061,2019-07-16 23:01:27,2019-07-16 22:14:33,2174773,421905962,2174773,194,139,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/695/SRR9695061.sralite.1,SRX6453378,12,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106711,SAMN12257518,simple,4146,Olea europaea,12,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,FF874FB0A6CD922EC9075FFF46232753,0C68C82D87FA6429658B2DBC8C6E6AC6
SRR9695062,2019-07-16 23:01:27,2019-07-16 22:14:44,2939297,570223618,2939297,194,188,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/695/SRR9695062.sralite.1,SRX6453377,13,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106710,SAMN12257519,simple,4146,Olea europaea,13,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,3678B5E4046757AF48E0A115AC853EB2,2709269B69C799C9A627C536D5D30CFD
SRR9695063,2019-07-16 23:01:27,2019-07-16 22:15:36,3770870,724007040,3770870,192,239,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/695/SRR9695063.sralite.1,SRX6453376,14,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106709,SAMN12257520,simple,4146,Olea europaea,14,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,99265B3B78861ED9F5F67B1DCC25927A,BC9770DBA25EE15F0DD235FEFB9168FD
SRR9695056,2019-07-16 23:01:27,2019-07-16 22:15:08,3968782,769943708,3968782,194,284,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/695/SRR9695056.sralite.1,SRX6453383,15,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106716,SAMN12257521,simple,4146,Olea europaea,15,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,684C58A1A61765A1CADAF3733F7EFFF4,D31EC13A186140845694EA4CFB65ACB1
SRR9695057,2019-07-16 23:01:27,2019-07-16 22:14:31,1873477,365328015,1873477,195,121,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/695/SRR9695057.sralite.1,SRX6453382,16,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106715,SAMN12257522,simple,4146,Olea europaea,16,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,17071C797DD17A7BF9BE3094D400156A,3310D9E5128C36A396827AC35CD4804A
SRR9695058,2019-07-16 23:01:27,2019-07-16 22:15:11,3167527,608165184,3167527,192,227,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/695/SRR9695058.sralite.1,SRX6453381,17,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106714,SAMN12257523,simple,4146,Olea europaea,17,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,F9B0563AF54EC059F9DC4E74947F866F,76A346F74C7128C985933A8D6B7B64AB
SRR9695059,2019-07-16 23:01:27,2019-07-16 22:15:01,3062355,587972160,3062355,192,197,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/695/SRR9695059.sralite.1,SRX6453380,18,OTHER,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214974,PRJNA554469,,554469,SRS5106713,SAMN12257524,simple,4146,Olea europaea,18,,,,,,,no,,,,,INSTITUTE OF CROPS AND NUCLEAR TECHNOLOGY UTILIZATION,SRA920783,,public,E765766AC7B42B858832600B094A7019,EA5C4A1D851D9451F07C1BF086133F44
