Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1797810,2015-02-21 01:18:12,2015-02-20 21:54:48,193728617,58118585100,193728617,300,38416,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797810/SRR1797810.sralite.1,SRX872395,NNUO,WGS,RANDOM,GENOMIC,PAIRED,788000,0,ILLUMINA,Illumina HiSeq 2000,SRP053671,PRJNA250548,,250548,SRS842691,SAMN02949499,simple,1504633,Panicum hallii var. hallii,1018313,,,,,,,no,,,,,JGI,SRA237791,,public,C3DED4346850EAC5E9D0CC8D5DB20CF0,CA3F046C0CA3F9AB5AC8B5D620C1EE23
SRR1797811,2015-02-20 23:12:14,2015-02-20 22:37:42,168280903,50484270900,168280903,300,32244,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797811/SRR1797811.sralite.1,SRX872396,NNUU,WGS,RANDOM,GENOMIC,PAIRED,766000,0,ILLUMINA,Illumina HiSeq 2000,SRP053672,PRJNA250543,,250543,SRS842692,SAMN02949487,simple,1504633,Panicum hallii var. hallii,1018316,,,,,,,no,,,,,JGI,SRA237793,,public,19DCDFB071E42E4B0FFB03AF5C6C50C6,17E71080507B91478E71376B70DA83E5
SRR1797812,2015-02-20 22:46:13,2015-02-20 22:23:08,172130318,51639095400,172130318,300,33075,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797812/SRR1797812.sralite.1,SRX872397,NNUW,WGS,RANDOM,GENOMIC,PAIRED,745000,0,ILLUMINA,Illumina HiSeq 2000,SRP053673,PRJNA250586,,250586,SRS842693,SAMN02949492,simple,1504633,Panicum hallii var. hallii,1018319,,,,,,,no,,,,,JGI,SRA237795,,public,B4D113C17AE3DB338B0B09648078C188,67FC68DE47D7AC74413F1F2BBAC54FCA
SRR1797813,2015-02-20 22:43:18,2015-02-20 22:10:15,185014895,55504468500,185014895,300,36222,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797813/SRR1797813.sralite.1,SRX872399,NNUN,WGS,RANDOM,GENOMIC,PAIRED,804000,0,ILLUMINA,Illumina HiSeq 2000,SRP053675,PRJNA250550,,250550,SRS842695,SAMN02949498,simple,1504633,Panicum hallii var. hallii,1018322,,,,,,,no,,,,,JGI,SRA237799,,public,5A6367728FD54E8E7B1016019AD9F14C,F44C271FDCE115A1240BE3050F593F3F
SRR1797816,2015-02-21 00:09:11,2015-02-20 23:19:59,173441376,52032412800,173441376,300,33076,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797816/SRR1797816.sralite.1,SRX872400,NNUT,WGS,RANDOM,GENOMIC,PAIRED,637000,0,ILLUMINA,Illumina HiSeq 2000,SRP053676,PRJNA250590,,250590,SRS842696,SAMN02949495,simple,1504633,Panicum hallii var. hallii,1018325,,,,,,,no,,,,,JGI,SRA237801,,public,8CA4F1428D20ADB2D0DFF0E3E98A2993,7459195C38264DFD1B0401ECFF873A66
SRR1797818,2015-02-20 23:21:13,2015-02-20 22:36:54,180911016,54273304800,180911016,300,35434,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797818/SRR1797818.sralite.1,SRX872401,NNUP,WGS,RANDOM,GENOMIC,PAIRED,741000,0,ILLUMINA,Illumina HiSeq 2000,SRP053677,PRJNA250593,,250593,SRS842697,SAMN02949491,simple,1504633,Panicum hallii var. hallii,1018328,,,,,,,no,,,,,JGI,SRA237803,,public,60C1C882E571BA222226A64492BDBA52,083933E6B29538CB53EE561794A5A5B4
SRR1797847,2015-02-20 22:51:14,2015-02-20 22:16:30,144545177,43363553100,144545177,300,27214,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797847/SRR1797847.sralite.1,SRX872406,NUOY,WGS,RANDOM,GENOMIC,PAIRED,753000,0,ILLUMINA,Illumina HiSeq 2000,SRP053682,PRJNA250587,,250587,SRS842702,SAMN02949493,simple,907226,Panicum hallii var. filipes,1018331,,,,,,,no,,,,,JGI,SRA237813,,public,88B52C196DA4330976D23207CEEC82B5,63D5C8AC3EC021B183300BC2D0083535
SRR1797841,2015-02-20 23:12:14,2015-02-20 22:29:10,185071353,55521405900,185071353,300,36253,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/797/SRR1797841/SRR1797841.sralite.1,SRX872405,NNUS,WGS,RANDOM,GENOMIC,PAIRED,772000,0,ILLUMINA,Illumina HiSeq 2000,SRP053681,PRJNA250588,,250588,SRS842701,SAMN02949496,simple,907226,Panicum hallii var. filipes,1018334,,,,,,,no,,,,,JGI,SRA237811,,public,3C432770C78F7F51AD394F8BE52C84B7,ED59FA6B66E58705306969AB125B68F9
SRR1798610,2015-02-20 22:16:14,2015-02-20 21:49:19,150462756,45138826800,150462756,300,28104,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798610/SRR1798610.sralite.1,SRX873027,NZWW,WGS,RANDOM,GENOMIC,PAIRED,676000,0,ILLUMINA,Illumina HiSeq 2000,SRP053912,PRJNA250387,,250387,SRS843194,SAMN02821413,simple,206008,Panicum hallii,1021731,,,,,,,no,,,,,JGI,SRA238302,,public,261092CB046C33194E77061652525302,9AA2AC6593CD110718834C683E8CF169
SRR1798619,2015-02-20 22:43:18,2015-02-20 21:56:12,181993858,54598157400,181993858,300,35113,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798619/SRR1798619.sralite.1,SRX873037,NZWT,WGS,RANDOM,GENOMIC,PAIRED,706000,0,ILLUMINA,Illumina HiSeq 2000,SRP053914,PRJNA250398,,250398,SRS843202,SAMN02822257,simple,206008,Panicum hallii,1021734,,,,,,,no,,,,,JGI,SRA238307,,public,DD21266E183E16C58E584B53E5FA9804,51D4A846FB614DFD705BDCD449671AF3
SRR1798615,2015-02-21 00:46:10,2015-02-20 22:13:36,161507542,48452262600,161507542,300,30159,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798615/SRR1798615.sralite.1,SRX873034,NZWG,WGS,RANDOM,GENOMIC,PAIRED,735000,0,ILLUMINA,Illumina HiSeq 2000,SRP053913,PRJNA250396,,250396,SRS843199,SAMN02822256,simple,206008,Panicum hallii,1021737,,,,,,,no,,,,,JGI,SRA238305,,public,4587EF63F2919BEB87C98D43DC533CBA,87DDCC130553D2DE7A9BEF32AD606AA3
SRR1798632,2015-02-20 22:49:12,2015-02-20 22:17:12,149492404,44847721200,149492404,300,28017,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798632/SRR1798632.sralite.1,SRX873042,NZWU,WGS,RANDOM,GENOMIC,PAIRED,707000,0,ILLUMINA,Illumina HiSeq 2000,SRP053919,PRJNA250395,,250395,SRS843208,SAMN02822355,simple,206008,Panicum hallii,1021740,,,,,,,no,,,,,JGI,SRA238316,,public,667697743F603883DC630BF5B9A231C7,17B73A923CB9274310247070F502400F
SRR1587455,2014-09-27 13:13:08,2014-09-27 02:30:21,176589175,52976752500,176589175,300,33702,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587455/SRR1587455.sralite.1,SRX711728,NZWX,WGS,RANDOM,GENOMIC,PAIRED,765000,0,ILLUMINA,Illumina HiSeq 2000,SRP047613,PRJNA250384,,250384,SRS710392,SAMN02822345,simple,206008,Panicum hallii,1021743,,,,,,,no,,,,,JGI,SRA186198,,public,4A8D56FCC62CDE561C6924A4359A8DEA,094893442505138B99CEF810FE9BC872
SRR1587489,2014-09-27 13:10:08,2014-09-27 00:49:42,137988533,41396559900,137988533,300,26436,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587489/SRR1587489.sralite.1,SRX711762,NZXW,WGS,RANDOM,GENOMIC,PAIRED,712000,0,ILLUMINA,Illumina HiSeq 2000,SRP047646,PRJNA250390,,250390,SRS710425,SAMN02822223,simple,206008,Panicum hallii,1021749,,,,,,,no,,,,,JGI,SRA186267,,public,569FAF799F6CBC28A2B62A20920A29DD,5B02B60C93A157B5138993ED93389BBF
SRR1587576,2014-09-27 13:22:08,2014-09-27 01:55:26,172357191,51707157300,172357191,300,32526,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587576/SRR1587576.sralite.1,SRX711849,NZWS,WGS,RANDOM,GENOMIC,PAIRED,752000,0,ILLUMINA,Illumina HiSeq 2000,SRP047649,PRJNA250415,,250415,SRS710429,SAMN02821412,simple,206008,Panicum hallii,1021752,,,,,,,no,,,,,JGI,SRA186276,,public,0D45C32849B211AE3F98CFA5995C42CD,CF6B98E1D73606D0511963EF8994AEF1
SRR1587580,2014-09-27 13:22:08,2014-09-27 01:44:36,158077468,47423240400,158077468,300,29994,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587580/SRR1587580.sralite.1,SRX711853,NZWY,WGS,RANDOM,GENOMIC,PAIRED,816000,0,ILLUMINA,Illumina HiSeq 2000,SRP047653,PRJNA250416,,250416,SRS710433,SAMN02822012,simple,206008,Panicum hallii,1021755,,,,,,,no,,,,,JGI,SRA186284,,public,33A6770C6006E1BA42A749EC2D83D5EE,8649D4803DE76FF5DACF4A5A3475635C
SRR1587588,2014-09-27 13:18:08,2014-09-27 00:46:10,109888839,32966651700,109888839,300,20879,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587588/SRR1587588.sralite.1,SRX711861,NZXX,WGS,RANDOM,GENOMIC,PAIRED,708000,0,ILLUMINA,Illumina HiSeq 2000,SRP047656,PRJNA250414,,250414,SRS710437,SAMN02822011,simple,206008,Panicum hallii,1021758,,,,,,,no,,,,,JGI,SRA186292,,public,9E5284AFF176C6ADB99B46E9D8ECF847,27CD42E77EF052B5800B9138A1469C94
SRR3723147,2016-06-27 17:31:18,2016-06-27 20:02:42,170146794,51044038200,170146794,300,32683,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/723/SRR3723147/SRR3723147.sralite.1,SRX1880834,PAGX,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077325,PRJNA250391,,250391,SRS1527608,SAMN02822019,simple,206008,Panicum hallii,1021761,,,,,,,no,,,,,JGI,SRA436181,,public,4639A6FFC1719AACC5A451765AB94BD3,2CE16EABD82EFCFEE2150B92E53D459B
SRR1587591,2014-09-27 13:26:08,2014-09-27 01:47:24,182043209,54612962700,182043209,300,35301,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587591/SRR1587591.sralite.1,SRX711864,NZWN,WGS,RANDOM,GENOMIC,PAIRED,863000,0,ILLUMINA,Illumina HiSeq 2000,SRP047659,PRJNA250389,,250389,SRS710440,SAMN02822260,simple,206008,Panicum hallii,1021764,,,,,,,no,,,,,JGI,SRA186298,,public,78EC58C04999A7B3FE25877D92BCA6A2,B866AEB6AB5D5F4750DD0F1B52C498B1
