Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1570191,2014-09-11 10:55:46,2014-09-08 17:52:42,44519257,8903851400,44519257,200,5785,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/570/SRR1570191/SRR1570191.sralite.1,SRX696487,CUZB,WGS,RANDOM,GENOMIC,PAIRED,545000,0,ILLUMINA,Illumina HiSeq 2000,SRP046405,PRJNA250020,,250020,SRS697569,SAMN02821393,simple,3694,Populus trichocarpa,1003101,,,,,,,no,,,,,JGI,SRA182612,,public,6637E5E00938AB4106E4F08E00110C33,7D15599F3116F37CC08C5776D25DC764
SRR1570949,2014-09-11 10:55:48,2014-09-08 20:59:03,45894280,9178856000,45894280,200,5375,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/570/SRR1570949/SRR1570949.sralite.1,SRX697371,BXZT,WGS,RANDOM,GENOMIC,PAIRED,424000,0,ILLUMINA,Illumina HiSeq 2000,SRP046486,PRJNA249241,,249241,SRS697867,SAMN02822076,simple,3694,Populus trichocarpa,1003104,,,,,,,no,,,,,JGI,SRA182765,,public,0245FE893D6AE98199776161ADE7788A,B60D9FD497DCDD59D7BF85B23A7D222E
SRR1570950,2014-09-11 10:55:48,2014-09-08 20:52:35,43909611,8781922200,43909611,200,5081,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/570/SRR1570950/SRR1570950.sralite.1,SRX697372,BXZA,WGS,RANDOM,GENOMIC,PAIRED,426000,0,ILLUMINA,Illumina HiSeq 2000,SRP046487,PRJNA250017,,250017,SRS697868,SAMN02822234,simple,3694,Populus trichocarpa,1003107,,,,,,,no,,,,,JGI,SRA182766,,public,E61C91F698A2A94F2F6BDB7DB9CADCF0,1B443F1A668F66AB07FD3F4115C32EBE
SRR1800291,2015-02-20 17:58:14,2015-02-20 17:40:01,83766554,16753310800,83766554,200,10794,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/800/SRR1800291/SRR1800291.sralite.1,SRX874387,BZAT,WGS,RANDOM,GENOMIC,PAIRED,427,0,ILLUMINA,Illumina HiSeq 2000,SRP054434,PRJNA250015,,250015,SRS844031,SAMN02821384,simple,3694,Populus trichocarpa,1003110,,,,,,,no,,,,,JGI,SRA239514,,public,11AE766816BCA795D452227C558A941D,AEBF0501B602C4A98102CE703C67AD91
SRR1800292,2015-02-20 17:31:12,2015-02-20 17:17:53,41597880,8319576000,41597880,200,4695,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/800/SRR1800292/SRR1800292.sralite.1,SRX874388,PCXO,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,SRP054433,PRJNA250290,,250290,SRS844030,SAMN02822167,simple,3694,Populus trichocarpa,1003113,,,,,,,no,,,,,JGI,SRA239515,,public,2B84F71133CE60798DFCD5CBFB2E17B1,C64702F17F58492EF5DAF872A888D7E9
SRR1800293,2015-02-20 17:33:37,2015-02-20 17:13:48,30558839,6111767800,30558839,200,4140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/800/SRR1800293/SRR1800293.sralite.1,SRX874389,BZAX,WGS,RANDOM,GENOMIC,PAIRED,404,0,ILLUMINA,Illumina HiSeq 2000,SRP054433,PRJNA250290,,250290,SRS844030,SAMN02822167,simple,3694,Populus trichocarpa,1003113,,,,,,,no,,,,,JGI,SRA239515,,public,0C2CAAF9A58CB94808456CB5392FBBD4,88262C7A57298900ABA78D909AEE6B2B
SRR1570951,2014-09-11 10:55:48,2014-09-08 21:09:34,40472634,8094526800,40472634,200,5269,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/570/SRR1570951/SRR1570951.sralite.1,SRX697373,BZAW,WGS,RANDOM,GENOMIC,PAIRED,429000,0,ILLUMINA,Illumina HiSeq 2000,SRP046488,PRJNA249776,,249776,SRS697869,SAMN02821744,simple,3694,Populus trichocarpa,1003116,,,,,,,no,,,,,JGI,SRA182767,,public,7C681E7D2E95CD3DC6B867FFF0718134,CF2DD006D48E0DEA56D2300997F11D6B
SRR1570952,2014-09-11 10:55:48,2014-09-08 21:13:39,44861952,8972390400,44861952,200,5940,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/570/SRR1570952/SRR1570952.sralite.1,SRX697374,BZAU,WGS,RANDOM,GENOMIC,PAIRED,436000,0,ILLUMINA,Illumina HiSeq 2000,SRP046489,PRJNA250282,,250282,SRS697870,SAMN02822344,simple,3694,Populus trichocarpa,1003119,,,,,,,no,,,,,JGI,SRA182768,,public,699F8AAF21086E11CE66B03775671940,140BE21E7E9D719B6278BC2B5ED6C896
SRR1570954,2014-09-11 10:55:48,2014-09-08 21:07:07,47998015,9599603000,47998015,200,6023,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/570/SRR1570954/SRR1570954.sralite.1,SRX697377,BZGT,WGS,RANDOM,GENOMIC,PAIRED,424000,0,ILLUMINA,Illumina HiSeq 2000,SRP046490,PRJNA249765,,249765,SRS697872,SAMN02822007,simple,3694,Populus trichocarpa,1003122,,,,,,,no,,,,,JGI,SRA182781,,public,422B0EB397B69D6CD02ECE791466CD1B,63568CA111F7122E3A8CD2458CFEA9D0
SRR1800294,2015-02-20 17:49:18,2015-02-20 17:30:37,63085975,12617195000,63085975,200,7811,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/800/SRR1800294/SRR1800294.sralite.1,SRX874390,BZGZ,WGS,RANDOM,GENOMIC,PAIRED,436,0,ILLUMINA,Illumina HiSeq 2000,SRP054432,PRJNA249558,,249558,SRS844029,SAMN02821966,simple,3694,Populus trichocarpa,1003125,,,,,,,no,,,,,JGI,SRA239516,,public,D72FD72F975E424E4CC5DC3F02F66489,B7231FD5F12B0B343CBFCF9170437576
