Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR16003735,2022-01-24 08:33:01,2021-09-22 03:18:50,906112,244650240,906112,270,76,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003735/SRR16003735.lite.1,SRX12291234,1-PEV,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265082,SAMN21545103,simple,4550,Secale cereale,1-PEV,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,9EB3380FAE64D432046FD8E936C250EB,CEBB849AAD0A3130FACB430394AD5A29
SRR16003739,2022-01-24 08:33:01,2021-09-22 03:19:09,980817,264820590,980817,270,81,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16003/SRR16003739/SRR16003739.lite.1,SRX12291230,10-ORM,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265080,SAMN21545092,simple,4550,Secale cereale,10-ORM,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,AC7249E0AC909D448C0D4C1165AFC8AA,55B9781E45D2C52B78E812484411C51F
SRR16003741,2022-01-24 08:33:01,2021-09-22 03:19:05,1321643,356843610,1321643,270,109,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003741/SRR16003741.lite.1,SRX12291228,100-DID,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265077,SAMN21545001,simple,4550,Secale cereale,100-DID,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,07253A91D6A26BFA8CFBA0D2EF8DDF95,04DF78556E48AC5B8473EB2C0C6A71E3
SRR16003740,2022-01-24 08:33:01,2021-09-22 03:19:11,1448163,391004010,1448163,270,121,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003740/SRR16003740.lite.1,SRX12291229,101-SAR,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265078,SAMN21545122,simple,4550,Secale cereale,101-SAR,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,A21E9B6B426CE964D978AD0924F3DA54,52DFB200C35875BC45BFC81CCA7528D8
SRR16003669,2022-01-24 08:33:01,2021-09-22 03:18:49,1377495,371923650,1377495,270,115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003669/SRR16003669.lite.1,SRX12291300,102-BRU,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265149,SAMN21544981,simple,4550,Secale cereale,102-BRU,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,8D4D36E2BF33B7122CDB63FFD0E54DD6,9EAB672EA3BF4301AD8A2D923A51BE8B
SRR16003658,2022-01-24 08:33:01,2021-09-22 03:18:49,1201687,324455490,1201687,270,100,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003658/SRR16003658.lite.1,SRX12291311,103-MAC,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265160,SAMN21545051,simple,4550,Secale cereale,103-MAC,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,858E810D5D3426D8A889D3944CB0ADA0,61EFBC3FCE713F751F6FB6FEBEBF1C9F
SRR16003604,2022-01-24 08:33:02,2021-09-22 03:18:20,595842,160877340,595842,270,49,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003604/SRR16003604.lite.1,SRX12291365,105-EXI,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265213,SAMN21545021,simple,4550,Secale cereale,105-EXI,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,B059DC8C262952962E960B69AB5AE881,FECB3E8544153732BBC9D4A0AC21095F
SRR16003593,2022-01-24 08:33:02,2021-09-22 03:18:28,820279,221475330,820279,270,67,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003593/SRR16003593.lite.1,SRX12291376,106-MAR,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265226,SAMN21545061,simple,4550,Secale cereale,106-MAR,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,C3C7A67A86E405177E89BF0712E79AE8,BE047C1252017AA604D41C19CDC17F38
SRR16003582,2022-01-24 08:33:02,2021-09-22 03:18:21,552172,149086440,552172,270,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003582/SRR16003582.lite.1,SRX12291387,107-ARN,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265236,SAMN21544970,simple,4550,Secale cereale,107-ARN,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,E366D79A7233692D68ABB380C4B9E4BC,0E43F735A8EA13E84F577C9115E8C633
SRR16003571,2022-01-24 08:33:02,2021-09-22 03:18:45,1477707,398980890,1477707,270,122,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003571/SRR16003571.lite.1,SRX12291398,108-DID,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265247,SAMN21545002,simple,4550,Secale cereale,108-DID,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,6667A9079298967E3EF0A74EA9A1C3D8,FE13B6EED2D03471FCAE7F0FFC722965
SRR16003560,2022-01-24 08:33:02,2021-09-22 03:18:33,1139998,307799460,1139998,270,95,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003560/SRR16003560.lite.1,SRX12291409,109-SAR,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265256,SAMN21545123,simple,4550,Secale cereale,109-SAR,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,FD425AC46D9C6B3BB966D4D68E6098AF,B81B2B523DAF12F5DEECA0A980FF9DE3
SRR16003667,2022-01-24 08:33:01,2021-09-22 03:18:35,1159720,313124400,1159720,270,96,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16003/SRR16003667/SRR16003667.lite.1,SRX12291302,11-ROB,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265151,SAMN21545112,simple,4550,Secale cereale,11-ROB,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,EB09C765C057D5FA88188139CC1387FF,A3552E92BE0D7ECD54F8AEFAA3BB3B24
SRR16003728,2022-01-24 08:33:01,2021-09-22 03:19:06,1375912,371496240,1375912,270,114,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16003/SRR16003728/SRR16003728.lite.1,SRX12291241,110-BRU,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265090,SAMN21544982,simple,4550,Secale cereale,110-BRU,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,4CC93A13AE12D88FC4DE7DB6E73B41C5,6A6548DCFE77DF8ED2471B716ADDF87D
SRR16003717,2022-01-24 08:33:01,2021-09-22 03:18:55,1150628,310669560,1150628,270,95,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003717/SRR16003717.lite.1,SRX12291252,111-MAC,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265101,SAMN21545052,simple,4550,Secale cereale,111-MAC,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,4D9DBD794F2E3549B1ACFADA527A2BA1,55D970CB1F24EA4227C1B85B48C192F9
SRR16003695,2022-01-24 08:33:01,2021-09-22 03:18:55,1033559,279060930,1033559,270,86,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16003/SRR16003695/SRR16003695.lite.1,SRX12291274,113-EXI,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP338146,PRJNA765145,,765145,SRS10265123,SAMN21545022,simple,4550,Secale cereale,113-EXI,,,,,,,no,,,,,UNIVERSITY OF TORINO,SRA1298203,,public,626A5EC7A1321A7E406CDC33F4F0CC82,4FD87B99F024600FAB205628570BE525
