Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5069632,2017-11-27 21:58:19,2016-12-05 21:14:54,980260,184288880,980260,188,129,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/069/SRR5069632.sralite.1,SRX2389472,SETzzhRBB33FAAPEI-6-1,WGS,PCR,GENOMIC,PAIRED,500,20,ILLUMINA,Illumina HiSeq 2000,SRP094412,PRJNA355062,,355062,SRS1831359,SAMN06074346,simple,4555,Setaria italica,1,,,,,,,no,,,,,BGI,SRA498895,,public,C170E5DBF56B6CC0C8F1B6B2257CEADB,8101F18B9D5172C1CF35BF5B7E3BD60D
SRR5069253,2017-11-27 21:58:13,2016-12-05 20:44:36,187072,35169536,187072,188,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/069/SRR5069253.sralite.1,SRX2389113,SETzzhRAA32FAAPEI-1-10,WGS,PCR,GENOMIC,PAIRED,500,20,ILLUMINA,Illumina HiSeq 2000,SRP094412,PRJNA355062,,355062,SRS1831001,SAMN06074355,simple,4555,Setaria italica,10,,,,,,,no,,,,,BGI,SRA498895,,public,6583B08967F0E4F89C5FD6F0B924A05C,74566D1603FF45565148E64242FF04E1
SRR5069537,2017-11-27 21:58:17,2016-12-02 10:37:21,368601,69296988,368601,188,47,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/069/SRR5069537.sralite.1,SRX2389377,SETzzhRAI31FAAPEI-9-100,WGS,PCR,GENOMIC,PAIRED,500,20,ILLUMINA,Illumina HiSeq 2000,SRP094412,PRJNA355062,,355062,SRS1831264,SAMN06074445,simple,4555,Setaria italica,100,,,,,,,no,,,,,BGI,SRA498895,,public,BA219A1C7C914EB6679EABF93E6686A8,CC4618508E09728534EADB39C4F93EB9
SRR5069285,2017-11-27 21:58:14,2016-12-02 08:39:38,1163305,218701340,1163305,188,142,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/069/SRR5069285.sralite.1,SRX2389145,SETzzhRAB32FAAPEI-2-101,WGS,PCR,GENOMIC,PAIRED,500,20,ILLUMINA,Illumina HiSeq 2000,SRP094412,PRJNA355062,,355062,SRS1831033,SAMN06074446,simple,4555,Setaria italica,101,,,,,,,no,,,,,BGI,SRA498895,,public,283C49670934C7261E1B97E8B76261D7,1E3FC667A376A07FFD39513E87078E60
SRR5069286,2017-11-27 21:58:14,2016-12-02 08:39:25,413133,77669004,413133,188,50,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/069/SRR5069286.sralite.1,SRX2389146,SETzzhRAB32FAAPEI-2-102,WGS,PCR,GENOMIC,PAIRED,500,20,ILLUMINA,Illumina HiSeq 2000,SRP094412,PRJNA355062,,355062,SRS1831034,SAMN06074447,simple,4555,Setaria italica,102,,,,,,,no,,,,,BGI,SRA498895,,public,F43810054245054C1D7D1701B419CF8F,CB5D67D337FF41713F9449A4DA9D4201
SRR1588023,2014-09-27 14:13:09,2014-09-27 05:13:44,163795759,32759151800,163795759,200,19912,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588023/SRR1588023.sralite.1,SRX712290,NTNP,WGS,RANDOM,GENOMIC,PAIRED,562000,0,ILLUMINA,Illumina HiSeq 2500,SRP047950,PRJNA250210,,250210,SRS710731,SAMN02821752,simple,4555,Setaria italica,1026921,,,,,,,no,,,,,JGI,SRA186917,,public,7474F7FD7FC89B916C6E96AE0CE08B0F,2795A686EC78DFFCB1F7403CD77C7654
SRR1588025,2014-09-27 14:17:08,2014-09-27 04:32:57,92601486,27780445800,92601486,300,16869,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588025/SRR1588025.sralite.1,SRX712292,NTNS,WGS,RANDOM,GENOMIC,PAIRED,851000,0,ILLUMINA,Illumina HiSeq 2000,SRP047952,PRJNA250219,,250219,SRS710733,SAMN02821978,simple,4555,Setaria italica,1026924,,,,,,,no,,,,,JGI,SRA186930,,public,47C34CD7F50FEF77EE0854FFA3AD3195,82768E3E02C755A96E996D8D3B0AABAD
SRR1588052,2014-09-27 14:12:08,2014-09-27 04:34:45,74330177,22299053100,74330177,300,13709,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588052/SRR1588052.sralite.1,SRX712319,NTNT,WGS,RANDOM,GENOMIC,PAIRED,817000,0,ILLUMINA,Illumina HiSeq 2000,SRP047956,PRJNA250212,,250212,SRS710737,SAMN02821944,simple,4555,Setaria italica,1026927,,,,,,,no,,,,,JGI,SRA186938,,public,143C9E21E7850DE21EFB4BBE008F0E8D,F15ED4B96A56037B8DEB32095C7E1705
SRR1588054,2014-09-27 14:08:08,2014-09-27 03:25:09,16687260,3337452000,16687260,200,1867,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588054/SRR1588054.sralite.1,SRX712321,NTNU,WGS,RANDOM,GENOMIC,PAIRED,784000,0,ILLUMINA,Illumina HiSeq 2500,SRP047958,PRJNA250211,,250211,SRS710739,SAMN02821470,simple,4555,Setaria italica,1026930,,,,,,,no,,,,,JGI,SRA186948,,public,2C0BACD0F1458B3D6E0A016269B0FEB4,B7EE155219435CD04C1E5134FAF1D880
SRR1588055,2014-09-27 14:13:09,2014-09-27 05:05:39,75834642,22750392600,75834642,300,13898,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588055/SRR1588055.sralite.1,SRX712322,NTNU,WGS,RANDOM,GENOMIC,PAIRED,784000,0,ILLUMINA,Illumina HiSeq 2000,SRP047958,PRJNA250211,,250211,SRS710739,SAMN02821470,simple,4555,Setaria italica,1026930,,,,,,,no,,,,,JGI,SRA186948,,public,ACEAC3055A393D93C3C19D92BD7C87F5,7AED05355EC9CA28134E0A9FD0E8688E
