Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1587367,2014-09-27 12:51:08,2014-09-26 23:22:57,105030601,31509180300,105030601,300,20851,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587367/SRR1587367.sralite.1,SRX711640,OBXH,WGS,RANDOM,GENOMIC,PAIRED,747000,0,ILLUMINA,Illumina HiSeq 2500,SRP047569,PRJNA251015,,251015,SRS710348,SAMN02821723,simple,4556,Setaria viridis,1025121,,,,,,,no,,,,,JGI,SRA186109,,public,FB01236209ED7D2C60DEED640E7772E6,D08CE18A7B068AB8A5C50B4FDC10886B
SRR1587381,2014-09-27 12:51:08,2014-09-26 22:55:51,83281784,24984535200,83281784,300,16534,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587381/SRR1587381.sralite.1,SRX711654,OBXN,WGS,RANDOM,GENOMIC,PAIRED,683000,0,ILLUMINA,Illumina HiSeq 2500,SRP047583,PRJNA251025,,251025,SRS710362,SAMN02822364,simple,4556,Setaria viridis,1025124,,,,,,,no,,,,,JGI,SRA186132,,public,43CEB8B0C970E81C4D63B528D5761D5D,95588D53DBC30AB4D4EA8127111A5EC8
SRR1587409,2014-09-27 12:55:09,2014-09-26 23:41:40,81015477,24304643100,81015477,300,15797,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587409/SRR1587409.sralite.1,SRX711682,OBXO,WGS,RANDOM,GENOMIC,PAIRED,802000,0,ILLUMINA,Illumina HiSeq 2500,SRP047593,PRJNA251019,,251019,SRS710372,SAMN02821510,simple,4556,Setaria viridis,1025127,,,,,,,no,,,,,JGI,SRA186158,,public,68EB5CF0C940F7E8B65B433D64039F52,5964F1CEE70D8C25F93883792EBD2B33
SRR1587443,2014-09-27 13:08:08,2014-09-27 00:08:00,88548985,26564695500,88548985,300,17234,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587443/SRR1587443.sralite.1,SRX711716,OBXP,WGS,RANDOM,GENOMIC,PAIRED,704000,0,ILLUMINA,Illumina HiSeq 2500,SRP047601,PRJNA251016,,251016,SRS710380,SAMN02822297,simple,4556,Setaria viridis,1025130,,,,,,,no,,,,,JGI,SRA186172,,public,B30FEB3AAFE88C7496E8847AD94CC1BA,D382F2FD82CD8318B0191E6DAF249AFD
SRR1587467,2014-09-27 13:04:08,2014-09-26 23:33:07,84631375,25389412500,84631375,300,16469,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587467/SRR1587467.sralite.1,SRX711740,OBXS,WGS,RANDOM,GENOMIC,PAIRED,733000,0,ILLUMINA,Illumina HiSeq 2500,SRP047625,PRJNA251022,,251022,SRS710404,SAMN02821885,simple,4556,Setaria viridis,1025133,,,,,,,no,,,,,JGI,SRA186222,,public,44A280308556A7BEFBA1F503D143F8CC,FB49AD219E087A1E53E7B2452548869D
SRR1587488,2014-09-27 13:05:08,2014-09-26 23:39:13,87384791,26215437300,87384791,300,16976,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587488/SRR1587488.sralite.1,SRX711761,OBXT,WGS,RANDOM,GENOMIC,PAIRED,677000,0,ILLUMINA,Illumina HiSeq 2500,SRP047644,PRJNA251010,,251010,SRS710423,SAMN02821514,simple,4556,Setaria viridis,1025136,,,,,,,no,,,,,JGI,SRA186264,,public,6AB7DD489F45EB1E207FCDE6B1437B67,33EF60C2A20978DFCE3C517DBF35ED8F
SRR1587574,2014-09-27 13:14:08,2014-09-27 00:24:32,89997752,26999325600,89997752,300,17653,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587574/SRR1587574.sralite.1,SRX711847,OBXU,WGS,RANDOM,GENOMIC,PAIRED,682000,0,ILLUMINA,Illumina HiSeq 2500,SRP004291,PRJNA251017,,251017,SRS710427,SAMN02822311,simple,4556,Setaria viridis,1025139,,,,,,,no,,,,,JGI,SRA186273,,public,B7AA14DDA6C15EADD92198CEA66EAE2E,6C6D02732B7E12412ADEF10FDE7D56FC
SRR1587578,2014-09-27 13:15:08,2014-09-27 00:35:39,96404515,28921354500,96404515,300,18920,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587578/SRR1587578.sralite.1,SRX711851,OBXW,WGS,RANDOM,GENOMIC,PAIRED,701000,0,ILLUMINA,Illumina HiSeq 2500,SRP047651,PRJNA249720,,249720,SRS710431,SAMN02821869,simple,4556,Setaria viridis,1025142,,,,,,,no,,,,,JGI,SRA186280,,public,3BEFC77206C2E617E262BC1A49CF43DF,0DF91F31F7D2DAD6243C5F14834C0D74
SRR1587581,2014-09-27 13:18:08,2014-09-27 00:57:44,125191860,37557558000,125191860,300,23657,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587581/SRR1587581.sralite.1,SRX711854,OBXX,WGS,RANDOM,GENOMIC,PAIRED,667000,0,ILLUMINA,Illumina HiSeq 2000,SRP004292,PRJNA251023,,251023,SRS710434,SAMN02822288,simple,4556,Setaria viridis,1025145,,,,,,,no,,,,,JGI,SRA186285,,public,8251205483580EF681BD23B3D6A18BC3,16DC563B9EA0392A8615B3D917803CC5
SRR1587583,2014-09-27 13:11:10,2014-09-26 23:42:35,52768916,15830674800,52768916,300,9220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/587/SRR1587583/SRR1587583.sralite.1,SRX711856,SYWH,WGS,RANDOM,GENOMIC,PAIRED,536000,0,ILLUMINA,Illumina HiSeq 2000,SRP047655,PRJNA251077,,251077,SRS710436,SAMN02822303,simple,4556,Setaria viridis,1025148,,,,,,,no,,,,,JGI,SRA186289,,public,6F4C0A7403F5500E647880839BFB7AE0,23E09539FCCB5547A7B8DB0B47709020
