Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8632582,2019-08-05 00:27:53,2019-02-26 10:25:20,23302781,2192358942,0,94,964,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/632/SRR8632582.sralite.1,SRX5431323,UMN_IWG_FHB_BLS_pop_A77-3_male_parent,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186875,PRJNA524302,,524302,SRS4411286,SAMN11021928,simple,85679,Thinopyrum intermedium,A77-3.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA852347,,public,0A50B0D947615491018FB53BE09F1143,F83E78E8EBE6081BA17504C15DB2ABBC
SRR8632583,2019-08-05 00:27:53,2019-02-27 11:25:49,24952507,2359295159,0,94,976,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/632/SRR8632583.sralite.1,SRX5431322,UMN_IWG_FHB_BLS_pop_C20-7_female_parent,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186875,PRJNA524302,,524302,SRS4411285,SAMN11021929,simple,85679,Thinopyrum intermedium,C20-7.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA852347,,public,C219209B7BC157147422342F1007A295,4A8DB8EC813B9B713A2D3ABCDF464334
SRR14245003,2021-07-16 00:30:12,2021-04-15 14:25:34,979447,90799085,0,92,33,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14245/SRR14245003/SRR14245003.lite.1,SRX10607420,UMN_C4_IWG_C418S0001,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8708472,SAMN18748690,simple,85679,Thinopyrum intermedium,C418S0001.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,E106372898A40EE14125B4B4EBEE1C77,A980D408B731F93726E104B5D2BB173A
SRR14245002,2021-07-16 00:30:12,2021-04-15 14:25:32,806994,75666718,0,93,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14245/SRR14245002/SRR14245002.lite.1,SRX10607421,UMN_C4_IWG_C418S0002,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8708471,SAMN18748691,simple,85679,Thinopyrum intermedium,C418S0002.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,B16B7C03A73F92A3501195020301A566,2F8656EDACDD01E21CC153593886DCF2
SRR14244955,2021-07-16 00:30:13,2021-04-15 14:26:05,2897615,274295410,0,94,99,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14244/SRR14244955/SRR14244955.lite.1,SRX10607468,UMN_C4_IWG_C418S0003,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8708519,SAMN18748692,simple,85679,Thinopyrum intermedium,C418S0003.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,B9A0530B41C833A7C7A752B5DE4F9349,FF50B11AB8E01F03485F362060868EAA
SRR14245456,2021-07-16 00:30:21,2021-04-15 14:30:46,1267417,117869781,0,93,43,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14245/SRR14245456/SRR14245456.lite.1,SRX10607831,UMN_C4_IWG_C418S0004,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8708882,SAMN18748693,simple,85679,Thinopyrum intermedium,C418S0004.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,E7C3AEB21D5D2B09874329FFEDA9E809,27AE2DD376BE0FF94EE135FF32A0B811
SRR14244765,2021-07-16 00:30:17,2021-04-15 14:19:45,834388,80101248,0,96,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14244/SRR14244765/SRR14244765.lite.1,SRX10607658,UMN_C4_IWG_C418S0005,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8708709,SAMN18748694,simple,85679,Thinopyrum intermedium,C418S0005.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,86745D60753DD156872BA0C89E71EB1E,23AF74CC1D07F343B481B2CA2F2A38F0
SRR14245234,2021-07-16 00:30:27,2021-04-15 14:29:15,3738545,352443214,0,94,127,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14245/SRR14245234/SRR14245234.lite.1,SRX10608053,UMN_C4_IWG_C418S0006,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8709098,SAMN18748695,simple,85679,Thinopyrum intermedium,C418S0006.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,802F10EEC84CDC2C7792D1DDE2348C59,BB9F57714685FBADA4AD9D385621B1FF
SRR14245059,2021-07-16 00:30:11,2021-04-15 14:26:14,770541,71224034,0,92,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14245/SRR14245059/SRR14245059.lite.1,SRX10607364,UMN_C4_IWG_C418S0007,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8708415,SAMN18748696,simple,85679,Thinopyrum intermedium,C418S0007.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,EFBE01E24FFB92665B40C92B2C4724D0,FE7CFFF6040169A7C29AE8D89576D78F
SRR14245124,2021-07-16 00:30:19,2021-04-15 14:26:57,686923,64908994,0,94,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14245/SRR14245124/SRR14245124.lite.1,SRX10607731,UMN_C4_IWG_C418S0008,RAD-Seq,size fractionation,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314995,PRJNA722274,,722274,SRS8708782,SAMN18748697,simple,85679,Thinopyrum intermedium,C418S0008.fq,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA1219081,,public,B1CC9EE8530DA567E76F9B53E7227507,86596BD7D6C5DF54D7629E62BDC11AEF
