Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10188630,2019-09-27 06:43:13,2019-09-26 05:40:10,73038376,14427142889,73038376,197,6241,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/188/SRR10188630.sralite.1,SRX6908959,HI.3353.007.Index_4,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440739,SAMN12855102,simple,4567,Triticum turgidum subsp. durum,1313,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,44ABD8B03CE47F00CF3963EB18E58366,ADF78499BFDC9006331870C103BD0B7E
SRR10188619,2019-09-27 06:50:12,2019-09-26 05:52:34,79649539,15751220368,79649539,197,6768,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/188/SRR10188619.sralite.1,SRX6908970,HI.3353.007.Index_5,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440750,SAMN12855103,simple,4567,Triticum turgidum subsp. durum,1321,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,E16B646FBDA8FF0260F95EE45A53515C,E4F95AC2D400FE8094665C3C71090487
SRR10188618,2019-09-27 06:43:13,2019-09-26 05:26:10,38308938,9513116680,38308938,248,3204,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/188/SRR10188618.sralite.1,SRX6908971,HI.3935.001.Index_7,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440751,SAMN12855121,simple,4567,Triticum turgidum subsp. durum,1341,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,E5EDABF6CBF1DDB6E00E2068FCA4B18F,9B5421AA529DE1E49EFA9776103C786F
SRR10188603,2019-09-27 06:50:12,2019-09-26 05:22:57,39813809,9907121108,39813809,248,3408,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/188/SRR10188603.sralite.1,SRX6908986,HI.3876.007.Index_6,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440766,SAMN12855135,simple,4567,Triticum turgidum subsp. durum,1349,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,976F65FFB57E19EA8216FDD0EFC541B7,5BA8B0E1617BC7DFE13DFCC91CA43C58
SRR10188608,2019-09-27 06:50:12,2019-09-26 05:53:06,88811864,17554971867,88811864,197,7567,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/188/SRR10188608.sralite.1,SRX6908981,HI.3353.007.Index_7,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440761,SAMN12855104,simple,4567,Triticum turgidum subsp. durum,1353,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,10289D121CF6CC72F1AF12354CBB72EE,B5D821A0CF14A47B59BB94531CF42E9B
SRR10188541,2019-10-01 12:00:13,2019-09-26 04:48:21,34210668,8505502838,34210668,248,2763,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/188/SRR10188541.sralite.1,SRX6909048,HI.4029.006.Index_12,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440827,SAMN12855159,simple,4567,Triticum turgidum subsp. durum,1373,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,EA011F16A6F0DCAF3AA0DB93F26F129F,593673741AD313285F06A6DD755BAE0F
SRR10188622,2019-09-27 06:43:13,2019-09-26 05:29:51,37913001,9423840896,37913001,248,3175,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/188/SRR10188622.sralite.1,SRX6908967,HI.3935.001.Index_5,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440747,SAMN12855118,simple,4567,Triticum turgidum subsp. durum,1381,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,4194325A0D16683B16320E2F54CB4149,6CFCDA00A69C3B38DCAF725A4923F747
SRR10188606,2019-09-27 06:45:12,2019-09-26 05:22:21,40146607,9987175889,40146607,248,3429,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/188/SRR10188606.sralite.1,SRX6908983,HI.3876.007.Index_7,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440763,SAMN12855132,simple,4567,Triticum turgidum subsp. durum,1389,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,9A4992DC20E997B48D61103C1B96085B,37E879CA21D552E5031A0AC85598CF5F
SRR10188557,2019-10-01 12:00:12,2019-09-26 04:59:22,39261402,9773815222,39261402,248,3329,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/188/SRR10188557.sralite.1,SRX6909032,HI.3876.007.Index_5,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440812,SAMN12855144,simple,4567,Triticum turgidum subsp. durum,1393,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,55403D59DFA4A5F5062BA2166BAE7B37,5A30762EA3CE469EA8AE408890A4295B
SRR10188538,2019-10-01 12:00:13,2019-09-26 04:48:17,35826976,8903138883,35826976,248,2908,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/188/SRR10188538.sralite.1,SRX6909051,HI.4029.006.Index_7,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440830,SAMN12855161,simple,4567,Triticum turgidum subsp. durum,1409,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,35E983006FD657528F5753B4E30B5A2C,451FCDA96687437A9662DCA735479BE1
SRR10188556,2019-10-01 12:00:12,2019-09-26 04:59:28,42272627,10520887545,42272627,248,3590,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/188/SRR10188556.sralite.1,SRX6909033,HI.3876.007.Index_12,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440813,SAMN12855145,simple,4567,Triticum turgidum subsp. durum,1417,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,986ADCC13485CE48C85E8D976176FAB5,89850A71C800BBCCEF32EA9FA4247565
SRR10188537,2019-10-01 12:00:13,2019-09-26 04:47:11,32318027,8015026163,32318027,248,2762,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/188/SRR10188537.sralite.1,SRX6909052,HI.4029.007.Index_16,WXS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP223360,PRJNA574238,,574238,SRS5440831,SAMN12855162,simple,4567,Triticum turgidum subsp. durum,1425,,,,,,,no,,,,,THE UNIVERSITY OF ADELAIDE,SRA968452,,public,7BEF830054D370760D48D062429634ED,EED13B36A3CEFF48994B948D0ABD902A
