Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR16952283,2022-06-02 11:22:00,2021-11-15 18:19:57,68440415,20669005330,68440415,302,8177,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16952/SRR16952283/SRR16952283.lite.1,SRX13143901,2,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP346229,PRJNA780568,,780568,SRS11076774,SAMN23168052,simple,29760,Vitis vinifera,08391-029,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA1329650,,public,9570695430AA8B4B65D53C3F8D5613F3,3627C1D49D0C52792370DC3DDE05889B
SRR7801345,2021-04-08 12:06:25,2018-09-07 04:11:25,6171409,876340078,0,142,295,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/801/SRR7801345.sralite.1,SRX4653063,HLTVMBBXX_3_0Mtp1004,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP160059,PRJNA489354,,489354,SRS3750827,SAMN09976802,simple,29760,Vitis vinifera,0Mtp1004,,,,,,,no,,,,,INRA,SRA769467,,public,178D3674CC2904F434C28CD22E4967B0,E6740C802FC64CE8A960D706E878AE17
SRR7801596,2021-04-08 12:06:31,2018-09-07 04:11:39,154729,29707968,154729,192,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR007/7801/SRR7801596/SRR7801596.lite.1,SRX4653430,C451YACXX_8_0Mtp1004,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP160059,PRJNA489354,,489354,SRS3750827,SAMN09976802,simple,29760,Vitis vinifera,0Mtp1004,,,,,,,no,,,,,INRA,SRA769467,,public,D5993E525A48364E0B0D721EE5D0A1E2,471398011E40F34FA75E821EDA6D7ADC
SRR7801590,2021-04-08 12:06:31,2018-09-07 04:14:13,6901173,979966566,0,142,331,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/801/SRR7801590.sralite.1,SRX4653436,HLTVMBBXX_4_0Mtp1004,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP160059,PRJNA489354,,489354,SRS3750827,SAMN09976802,simple,29760,Vitis vinifera,0Mtp1004,,,,,,,no,,,,,INRA,SRA769467,,public,E6A6C48CEFC682DCD865DF3BF7FC4C9D,C13C9758C8691F9E951A5EE6FAA3602B
SRR7801242,2021-04-08 12:06:26,2018-09-07 04:10:01,5026608,980188560,5026608,195,607,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/801/SRR7801242.sralite.1,SRX4653169,C45EDACXX_5_0Mtp1005,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP160059,PRJNA489354,,489354,SRS3750855,SAMN09976803,simple,29760,Vitis vinifera,0Mtp1005,,,,,,,no,,,,,INRA,SRA769467,,public,350E971AE37858FF18D5ABB005554E53,63460C88EB82339B1A481D7782CD92A2
SRR7801241,2021-04-08 12:06:26,2018-09-07 04:09:55,2807982,550364472,2807982,196,334,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR007/7801/SRR7801241/SRR7801241.lite.1,SRX4653170,C45EDACXX_5_0Mtp1033,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP160059,PRJNA489354,,489354,SRS3750856,SAMN09976804,simple,29760,Vitis vinifera,0Mtp1033,,,,,,,no,,,,,INRA,SRA769467,,public,4C3D79116CCD3E578B94EEA76D6C64B5,5C81CD13F8F709664CCA3364E1389B56
SRR7801250,2021-04-08 12:06:26,2018-09-07 04:08:53,1249019,243558705,1249019,195,148,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/801/SRR7801250.sralite.1,SRX4653163,C45EDACXX_5_0Mtp1068,RAD-Seq,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP160059,PRJNA489354,,489354,SRS3750828,SAMN09976805,simple,29760,Vitis vinifera,0Mtp1068,,,,,,,no,,,,,INRA,SRA769467,,public,F72E436EFA320986F93F8E7763D5480C,358D2EEE8D584A12229F0510219EAD97
SRR7801295,2021-04-08 12:06:26,2018-09-07 04:10:36,3595140,517700160,0,144,174,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/801/SRR7801295.sralite.1,SRX4653115,HLTVMBBXX_4_0Mtp1068,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP160059,PRJNA489354,,489354,SRS3750828,SAMN09976805,simple,29760,Vitis vinifera,0Mtp1068,,,,,,,no,,,,,INRA,SRA769467,,public,4B0B0C9500A36763DD173AEF88100D18,0B0928BAF9E4F9E4C999DC09FC8E2314
SRR7801344,2021-04-08 12:06:25,2018-09-07 04:10:38,4033466,580819104,0,144,196,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/801/SRR7801344.sralite.1,SRX4653064,HLTVMBBXX_3_0Mtp1068,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP160059,PRJNA489354,,489354,SRS3750828,SAMN09976805,simple,29760,Vitis vinifera,0Mtp1068,,,,,,,no,,,,,INRA,SRA769467,,public,3A325A17E1D2C7475307808001012E2E,4B400EE156E1A6B0989ACDCE67419A88
SRR7801329,2021-04-08 12:06:25,2018-09-07 04:10:10,3590864,513493552,0,143,174,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/801/SRR7801329.sralite.1,SRX4653075,HLTVMBBXX_4_0Mtp1072,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP160059,PRJNA489354,,489354,SRS3750835,SAMN09976806,simple,29760,Vitis vinifera,0Mtp1072,,,,,,,no,,,,,INRA,SRA769467,,public,822E44332C789BED2D8907954D005257,E33DC5F499F670C71C55388F558A0946
