Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR494397,2012-05-06 12:19:13,2012-08-12 04:17:31,182903469,54871040700,182903469,300,35700,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/494/SRR494397/SRR494397.sralite.1,SRX146262,ISSG,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA052514,,public,B34A600869345865A1D14F4C905CDA62,2FF0BCE5749B35F85EE2E5F95348FCB9
SRR1588072,2014-09-27 14:24:08,2014-09-27 06:00:20,134147297,40244189100,134147297,300,26634,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588072/SRR1588072.sralite.1,SRX712339,NUUS,WGS,size fractionation,GENOMIC,PAIRED,439000,0,ILLUMINA,Illumina HiSeq 2000,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA186986,,public,FAB25014E6B210DA9C6F08F3583C6AD5,E477B8E7AE2F8C5747AC98D41BB35AFA
SRR1588073,2014-09-27 14:23:08,2014-09-27 06:08:15,138334779,41500433700,138334779,300,26454,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588073/SRR1588073.sralite.1,SRX712340,NUUP,WGS,size fractionation,GENOMIC,PAIRED,407000,0,ILLUMINA,Illumina HiSeq 2000,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA186986,,public,2C30D3B7C16969CBF5F0C9D25CD9E905,3E955DF8D63C6ED0D3820949B3AF3076
SRR1692420,2014-12-03 22:33:12,2014-12-03 22:21:12,133925832,26785166400,133925832,200,15714,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692420/SRR1692420.sralite.1,SRX795260,IWHB,WGS,RANDOM,GENOMIC,PAIRED,2000000,0,ILLUMINA,Illumina HiSeq 2000,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,61C250B44D70F527C3454EC7E812A7DE,B073A47C97EBB6195E9D1807E075F3C6
SRR1692421,2014-12-03 21:32:12,2014-12-03 21:24:17,14663069,2932613800,14663069,200,1801,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692421/SRR1692421.sralite.1,SRX795260,IWHB,WGS,RANDOM,GENOMIC,PAIRED,2000000,0,ILLUMINA,Illumina HiSeq 2000,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,CE4F8E35A6349115DED0A275AB25EBD5,3269F7CE4AE3A4A0A015469852F6E08E
SRR1692422,2014-12-03 23:48:13,2014-12-03 23:31:43,150499206,30099841200,150499206,200,19193,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692422/SRR1692422.sralite.1,SRX795261,IUSG,WGS,RANDOM,GENOMIC,PAIRED,3500000,0,ILLUMINA,Illumina HiSeq 2000,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,34240BA2F87258C12931886D0DD1EFC4,A6D435EA175AB7047669882ADDD07489
SRR1692423,2014-12-03 21:41:10,2014-12-03 21:36:48,13154584,6603601168,13154584,502,3115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692423/SRR1692423.sralite.1,SRX795262,M0782,WGS,RANDOM,GENOMIC,PAIRED,800000,0,ILLUMINA,Illumina MiSeq,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,CEC1133332664AEFB504BA5BA5085C11,684DB6ECCD2610D735D8CB9F75C2CA25
SRR1692424,2014-12-03 21:32:12,2014-12-03 21:25:36,8035974,4034058948,8035974,502,2437,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692424/SRR1692424.sralite.1,SRX795263,M0783,WGS,RANDOM,GENOMIC,PAIRED,800000,0,ILLUMINA,Illumina MiSeq,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,9D5401FB9ED52395FB95C8714170A8FF,0411FEFF77671278C9B360849E62867A
SRR1692425,2014-12-03 21:32:12,2014-12-03 21:27:49,9020606,4528344212,9020606,502,2623,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692425/SRR1692425.sralite.1,SRX795263,M0783,WGS,RANDOM,GENOMIC,PAIRED,800000,0,ILLUMINA,Illumina MiSeq,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,86B80DE3DE84F4A1A0D1EEC36E66E366,F34D93164AF0FEB194B792D5846E60C6
SRR1692426,2014-12-03 21:33:10,2014-12-03 21:28:43,8866847,4451157194,8866847,502,2689,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692426/SRR1692426.sralite.1,SRX795263,M0783,WGS,RANDOM,GENOMIC,PAIRED,800000,0,ILLUMINA,Illumina MiSeq,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,9999F4D8E3D0521877249589312D4F9C,415754560F7EF7CAD1E4B5E1E927E6B0
SRR1692427,2014-12-08 18:34:12,2014-12-08 18:32:13,1319919,742784694,0,562,1648,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/692/SRR1692427/SRR1692427.lite.1,SRX795264,HYHO,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA208202,,public,E9A3132EEDD62A2CFCC18ADD167AC135,C42FDD1EE72ABBBEB7CA48A375E0C954
SRR3926352,2016-07-15 22:40:17,2016-07-15 23:02:45,40111261,8022252200,40111261,200,4313,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/926/SRR3926352.sralite.1,SRX1952517,HZBN,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP002573,PRJNA41721,2,41721,SRS312376,SAMN00991190,simple,29655,Zostera marina,12014,,,,,,,no,,,,,JGI,SRA440948,,public,5D95A3CD171C88C8A34DB745AD8672A0,FB7CE8C399DC1E92A70FDA52376E26C6
SRR10215445,2020-09-01 03:47:44,2019-10-02 06:05:16,8796764,659757300,0,75,230,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215445/SRR10215445.lite.1,SRX6935131,13.2control,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465166,SAMN12886597,simple,29655,Zostera marina,13.2control,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,B1BA105395D45CFE5F3D0DCAA043D414,87108614008116EB60188BB6BE9874EA
SRR10215444,2020-09-01 03:47:44,2019-10-02 06:04:30,6080056,456004200,0,75,158,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215444/SRR10215444.lite.1,SRX6935132,13.2stress,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465167,SAMN12886598,simple,29655,Zostera marina,13.2stress,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,4ED71452219D7EF6E3D5712693C2D575,2250D514278C398E488E5FBAF02C02C4
SRR11288367,2020-09-01 03:47:44,2020-03-11 11:59:08,44348853,13393353606,44348853,302,5600,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11288/SRR11288367/SRR11288367.lite.1,SRX7894081,13.2stress_Genomic,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP223928,PRJNA575339,,575339,SRS5465167,SAMN12886598,simple,29655,Zostera marina,13.2stress,,,,,,,no,,,,,NORD UNIVERSITY,SRA1053817,,public,991F3F800A53DE19E0052B3E984A84B9,195DF01AD92753814739B1E40E2A0F3B
SRR10215482,2020-09-01 03:47:44,2019-10-02 06:08:29,6532232,489917400,0,75,169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215482/SRR10215482.lite.1,SRX6935094,15,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465129,SAMN12886555,simple,29655,Zostera marina,15,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,172F0F0C898DDBE914D2C5DD23B3CE5F,F5F8B3D5F568DFF1A96114FEB5E7A74F
SRR10215443,2020-09-01 03:47:44,2019-10-02 06:04:48,6500947,487571025,0,75,167,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215443/SRR10215443.lite.1,SRX6935133,15.2control,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465168,SAMN12886599,simple,29655,Zostera marina,15.2control,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,D4C30463B7A6D99E77E4E50B76F6B10A,C2A2174922DCADF8E7C97A22AB46222D
SRR10215442,2020-09-01 03:47:44,2019-10-02 06:04:45,5882533,441189975,0,75,152,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215442/SRR10215442.lite.1,SRX6935134,15.2stress,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465169,SAMN12886600,simple,29655,Zostera marina,15.2stress,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,7C86A788F5FFE87C6E89EE8B1E455AA5,F3CC4AD4434A2245A619450451430113
SRR11288366,2020-09-01 03:47:44,2020-03-11 11:58:54,36471464,11014382128,36471464,302,4597,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11288/SRR11288366/SRR11288366.lite.1,SRX7894082,15.2stress_Genomic,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP223928,PRJNA575339,,575339,SRS5465169,SAMN12886600,simple,29655,Zostera marina,15.2stress,,,,,,,no,,,,,NORD UNIVERSITY,SRA1053817,,public,01AACC67AD008C84A2B434E0CDBCEF72,AFF11558F364D4B5F98BB848C637EDC6
SRR10215481,2020-09-01 03:47:44,2019-10-02 06:07:51,6085924,456444300,0,75,156,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215481/SRR10215481.lite.1,SRX6935095,16,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465130,SAMN12886556,simple,29655,Zostera marina,16,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,EA37A2F0703212B874B8E969F46890A3,7C339BB513225926975B9D537844670F
SRR10215470,2020-09-01 03:47:43,2019-10-02 06:07:05,7604523,570339225,0,75,201,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215470/SRR10215470.lite.1,SRX6935106,17,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465141,SAMN12886557,simple,29655,Zostera marina,17,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,DC54949C0829A7A10AA4DF5C9CD3CD67,2B432B9BB7B3EF5D459A9128831B9D05
SRR10215441,2020-09-01 03:47:44,2019-10-02 06:05:02,8994710,674603250,0,75,231,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215441/SRR10215441.lite.1,SRX6935135,17.1control,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465170,SAMN12886601,simple,29655,Zostera marina,17.1control,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,0A4646F6CB4EBE5FE2E3716E112BBAB7,9DEE12CDD9E378CED43D48252058A046
SRR10215439,2020-09-01 03:47:44,2019-10-02 06:04:31,7292618,546946350,0,75,189,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215439/SRR10215439.lite.1,SRX6935137,17.1recovery,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465172,SAMN12886603,simple,29655,Zostera marina,17.1recovery,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,471921EE55642A8187FE00B02F988B6B,9AAEAC5310900431D423A8C9E503EF09
SRR10215440,2020-09-01 03:47:44,2019-10-02 06:04:51,7458667,559400025,0,75,190,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215440/SRR10215440.lite.1,SRX6935136,17.1stress,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465171,SAMN12886602,simple,29655,Zostera marina,17.1stress,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,67555DB2C26CD1FE26D157466E025AFB,38621F38226DCC3EF64A85C2CE35D5F3
SRR11288374,2020-09-01 03:47:45,2020-03-11 11:46:57,25682556,7756131912,25682556,302,3264,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11288/SRR11288374/SRR11288374.lite.1,SRX7894074,17.1stress_Genomic,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP223928,PRJNA575339,,575339,SRS5465171,SAMN12886602,simple,29655,Zostera marina,17.1stress,,,,,,,no,,,,,NORD UNIVERSITY,SRA1053817,,public,C55ED33FE92AA4DD7331C52C2370AD42,49B9A947A46BF180469BBBDFE9059037
SRR10215459,2020-09-01 03:47:43,2019-10-02 06:07:14,8443524,633264300,0,75,221,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/10215/SRR10215459/SRR10215459.lite.1,SRX6935117,18,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465152,SAMN12886558,simple,29655,Zostera marina,18,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,E00A1F5A7EF707A68B42DC3833CFF23F,BACE8D64C900A265C508EA4FC7DC9139
SRR10215448,2020-09-01 03:47:44,2019-10-02 06:05:09,7106343,532975725,0,75,182,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/10215/SRR10215448/SRR10215448.lite.1,SRX6935128,19,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465163,SAMN12886559,simple,29655,Zostera marina,19,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,B68CB8E4EC9599E0B7D3C05D984F3D1D,C0CED89011226DF7165E062519D75B1F
SRR10215437,2020-09-01 03:47:44,2019-10-02 06:03:53,8023198,601739850,0,75,210,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10215/SRR10215437/SRR10215437.lite.1,SRX6935139,20,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465174,SAMN12886560,simple,29655,Zostera marina,20,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,CD52996637D62918C2D71B07475F96C9,FFDDD839558AC7F97A6B8BE698A07D4A
SRR10215426,2020-09-01 03:47:44,2019-10-02 06:02:44,6932510,519938250,0,75,180,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/10215/SRR10215426/SRR10215426.lite.1,SRX6935150,21,RAD-Seq,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223928,PRJNA575339,,575339,SRS5465185,SAMN12886561,simple,29655,Zostera marina,21,,,,,,,no,,,,,NORD UNIVERSITY,SRA971221,,public,A43881E5FEB68B3A6D28D5F4D0A43C59,1903E95B51B2D236654B1DBA08C69423
