run	replicate	layout	genome	ploidy	taxonKeys
SRR7880945	SAMN10059164	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880944	SAMN10059165	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880947	SAMN10059166	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880946	SAMN10059167	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880949	SAMN10059168	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880948	SAMN10059169	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880951	SAMN10059170	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880720	SAMN10059171	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880943	SAMN10059172	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880942	SAMN10059173	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880976	SAMN10059174	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880975	SAMN10059175	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880974	SAMN10059176	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880973	SAMN10059177	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880980	SAMN10059178	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880979	SAMN10059179	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880978	SAMN10059180	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880977	SAMN10059181	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880982	SAMN10059182	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880981	SAMN10059183	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880752	SAMN10059184	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880753	SAMN10059185	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880750	SAMN10059186	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880751	SAMN10059187	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880756	SAMN10059188	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880757	SAMN10059189	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880754	SAMN10059190	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
SRR7880755	SAMN10059191	PE	arabis_alpina	2	5375020 5374885 8576900 9044273 7694599 8349130 5375026 5551157 7785553 9614998
