assembly	chromosome
brachypodium_distachyon	Bd1
brachypodium_distachyon	Bd1centromerecontainingBradi1g41430
brachypodium_distachyon	Bd2
brachypodium_distachyon	Bd3
brachypodium_distachyon	Bd4
brachypodium_distachyon	Bd5
brachypodium_distachyon	scaffold12
brachypodium_distachyon	scaffold135
brachypodium_distachyon	scaffold14
brachypodium_distachyon	scaffold180
buddleja_alternifolia	CM033390.1
buddleja_alternifolia	CM033391.1
buddleja_alternifolia	CM033392.1
buddleja_alternifolia	CM033393.1
buddleja_alternifolia	CM033394.1
buddleja_alternifolia	CM033395.1
buddleja_alternifolia	CM033396.1
buddleja_alternifolia	CM033397.1
buddleja_alternifolia	CM033398.1
buddleja_alternifolia	CM033399.1
buddleja_alternifolia	CM033400.1
buddleja_alternifolia	CM033401.1
buddleja_alternifolia	CM033402.1
buddleja_alternifolia	CM033403.1
buddleja_alternifolia	CM033404.1
buddleja_alternifolia	CM033405.1
buddleja_alternifolia	CM033406.1
buddleja_alternifolia	CM033407.1
buddleja_alternifolia	CM033408.1
buddleja_alternifolia	CM033409.1
buddleja_alternifolia	CM033410.1
buddleja_alternifolia	WHWC01000022.1
buddleja_alternifolia	WHWC01000023.1
buddleja_alternifolia	WHWC01000026.1
buddleja_alternifolia	WHWC01000030.1
buddleja_alternifolia	WHWC01000031.1
buddleja_alternifolia	WHWC01000032.1
buddleja_alternifolia	WHWC01000033.1
buddleja_alternifolia	WHWC01000034.1
buddleja_alternifolia	WHWC01000035.1
buddleja_alternifolia	WHWC01000036.1
buddleja_alternifolia	WHWC01000040.1
buddleja_alternifolia	WHWC01000041.1
buddleja_alternifolia	WHWC01000042.1
buddleja_alternifolia	WHWC01000043.1
buddleja_alternifolia	WHWC01000045.1
buddleja_alternifolia	WHWC01000046.1
buddleja_alternifolia	WHWC01000048.1
buddleja_alternifolia	WHWC01000049.1
buddleja_alternifolia	WHWC01000050.1
buddleja_alternifolia	WHWC01000052.1
buddleja_alternifolia	WHWC01000055.1
buddleja_alternifolia	WHWC01000056.1
buddleja_alternifolia	WHWC01000057.1
buddleja_alternifolia	WHWC01000060.1
buddleja_alternifolia	WHWC01000061.1
buddleja_alternifolia	WHWC01000062.1
buddleja_alternifolia	WHWC01000064.1
buddleja_alternifolia	WHWC01000065.1
buddleja_alternifolia	WHWC01000067.1
buddleja_alternifolia	WHWC01000068.1
buddleja_alternifolia	WHWC01000069.1
buddleja_alternifolia	WHWC01000071.1
buddleja_alternifolia	WHWC01000072.1
buddleja_alternifolia	WHWC01000073.1
buddleja_alternifolia	WHWC01000076.1
buddleja_alternifolia	WHWC01000077.1
buddleja_alternifolia	WHWC01000080.1
buddleja_alternifolia	WHWC01000081.1
buddleja_alternifolia	WHWC01000084.1
buddleja_alternifolia	WHWC01000086.1
buddleja_alternifolia	WHWC01000088.1
buddleja_alternifolia	WHWC01000089.1
buddleja_alternifolia	WHWC01000090.1
buddleja_alternifolia	WHWC01000091.1
buddleja_alternifolia	WHWC01000094.1
buddleja_alternifolia	WHWC01000096.1
buddleja_alternifolia	WHWC01000098.1
buddleja_alternifolia	WHWC01000099.1
buddleja_alternifolia	WHWC01000104.1
buddleja_alternifolia	WHWC01000105.1
buddleja_alternifolia	WHWC01000106.1
buddleja_alternifolia	WHWC01000107.1
buddleja_alternifolia	WHWC01000111.1
buddleja_alternifolia	WHWC01000112.1
buddleja_alternifolia	WHWC01000115.1
buddleja_alternifolia	WHWC01000116.1
buddleja_alternifolia	WHWC01000118.1
buddleja_alternifolia	WHWC01000119.1
buddleja_alternifolia	WHWC01000122.1
buddleja_alternifolia	WHWC01000126.1
buddleja_alternifolia	WHWC01000128.1
buddleja_alternifolia	WHWC01000129.1
buddleja_alternifolia	WHWC01000130.1
buddleja_alternifolia	WHWC01000131.1
buddleja_alternifolia	WHWC01000132.1
buddleja_alternifolia	WHWC01000134.1
buddleja_alternifolia	WHWC01000135.1
buddleja_alternifolia	WHWC01000136.1
buddleja_alternifolia	WHWC01000137.1
buddleja_alternifolia	WHWC01000138.1
buddleja_alternifolia	WHWC01000140.1
buddleja_alternifolia	WHWC01000142.1
buddleja_alternifolia	WHWC01000143.1
buddleja_alternifolia	WHWC01000144.1
buddleja_alternifolia	WHWC01000145.1
buddleja_alternifolia	WHWC01000146.1
buddleja_alternifolia	WHWC01000147.1
buddleja_alternifolia	WHWC01000150.1
buddleja_alternifolia	WHWC01000154.1
buddleja_alternifolia	WHWC01000155.1
buddleja_alternifolia	WHWC01000156.1
buddleja_alternifolia	WHWC01000157.1
buddleja_alternifolia	WHWC01000158.1
buddleja_alternifolia	WHWC01000161.1
buddleja_alternifolia	WHWC01000164.1
buddleja_alternifolia	WHWC01000165.1
buddleja_alternifolia	WHWC01000166.1
buddleja_alternifolia	WHWC01000168.1
buddleja_alternifolia	WHWC01000169.1
buddleja_alternifolia	WHWC01000170.1
buddleja_alternifolia	WHWC01000176.1
buddleja_alternifolia	WHWC01000178.1
buddleja_alternifolia	WHWC01000181.1
buddleja_alternifolia	WHWC01000185.1
buddleja_alternifolia	WHWC01000186.1
buddleja_alternifolia	WHWC01000189.1
buddleja_alternifolia	WHWC01000190.1
buddleja_alternifolia	WHWC01000192.1
buddleja_alternifolia	WHWC01000193.1
buddleja_alternifolia	WHWC01000194.1
buddleja_alternifolia	WHWC01000196.1
