run	replicate	layout	genome	ploidy	taxonKeys
SRR2962162	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962163	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962164	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962165	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962166	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962167	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962168	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962169	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962170	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962171	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962172	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962173	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962174	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962175	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962176	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962177	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962178	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962179	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962180	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962181	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962182	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962183	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962184	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962185	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962186	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962187	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962188	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962189	AB	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962190	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962191	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962192	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962193	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962194	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962195	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962196	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962197	C	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962198	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962199	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962200	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962201	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962202	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962203	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962204	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962205	D	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962206	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962207	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962208	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962209	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962210	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962211	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962212	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962213	E	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962214	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962215	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
SRR2962216	F	SE	actinidia_chinensis	2	3644693 7270743 3644698 3644711
