Species
Amaranthus hypochondriacus
Amborella trichopoda
Ananas comosus
Aquilegia coerulea
Arabidopsis halleri
Arabidopsis lyrata
Arabidopsis thaliana
Arachis hypogaea
Asparagus officinalis 
Beta vulgaris
Betula platyphylla
Boechera stricta
Brachypodium distachyon
Brachypodium hybridum
Brachypodium stacei
Brassica oleracea capitata
Brassica rapa
Capsella grandiflora
Capsella rubella
Carica papaya
Carya illinoinensis
Chenopodium quinoa
Cicer arietinum 
Cinnamomum kanehirae
Citrus clementina
Citrus sinensis
Corymbia citriodora
Cucumis sativus
Daucus carota
Dioscorea alata
Diphasiastrum complanatum
Eucalyptus grandis
Eutrema salsugineum
Fragaria vesca
Fragaria x ananassa
Glycine max
Glycine soja
Gossypium barbadense
Gossypium darwinii
Gossypium hirsutum 
Gossypium mustelinum
Gossypium raimondii
Gossypium tomentosum
Helianthus annuus
Hordeum vulgare
Kalanchoe fedtschenkoi 
Lactuca sativa
Lens culinaris
Lens ervoides
Linum usitatissimum
Liriodendron tulipifera
Lotus japonicus
Lupinus albus
Manihot esculenta
Medicago truncatula
Mimulus guttatus
Miscanthus sinensis 
Musa acuminata
Nymphaea colorata
Olea europaea
Oropetium thomaeum
Oryza sativa
Panicum hallii
Panicum virgatum
Phaseolus acutifolius
Phaseolus vulgaris
Poncirus trifoliata
Populus trichocarpa
Prunus persica
Ricinus communis
Salix purpurea
Schrenkiella parvula
Setaria italica 
Setaria viridis
Solanum lycopersicum
Solanum tuberosum
Sorghum bicolor
Spinacia oleracea 
Spirodela polyrhiza
Theobroma cacao
Thinopyrum intermedium
Trifolium pratense
Triticum aestivum
Triticum turgidum
Vaccinium darrowii 
Vigna unguiculata
Vitis vinifera
Zea mays
Zostera marina 
