run	replicate	layout	genome	ploidy
DRR031889	SAMD00027970	PE	arabidopsis_halleri	2
DRR031891	SAMD00027971	PE	arabidopsis_halleri	2
DRR031893	SAMD00027972	PE	arabidopsis_halleri	2
DRR031895	SAMD00027973	PE	arabidopsis_halleri	2
DRR031896	SAMD00027974	PE	arabidopsis_halleri	2
DRR031897	SAMD00027975	PE	arabidopsis_halleri	2
DRR031899	SAMD00027976	PE	arabidopsis_halleri	2
DRR031901	SAMD00027977	PE	arabidopsis_halleri	2
DRR031903	SAMD00027978	PE	arabidopsis_halleri	2
DRR031905	SAMD00027979	PE	arabidopsis_halleri	2
DRR031906	SAMD00027980	PE	arabidopsis_halleri	2
DRR031908	SAMD00027981	PE	arabidopsis_halleri	2
DRR031909	SAMD00027982	PE	arabidopsis_halleri	2
DRR031910	SAMD00027983	PE	arabidopsis_halleri	2
DRR031912	SAMD00027984	PE	arabidopsis_halleri	2
DRR031913	SAMD00027985	PE	arabidopsis_halleri	2
DRR031915	SAMD00027986	PE	arabidopsis_halleri	2
DRR031917	SAMD00027987	PE	arabidopsis_halleri	2
DRR031918	SAMD00027988	PE	arabidopsis_halleri	2
DRR031919	SAMD00027989	PE	arabidopsis_halleri	2
DRR031920	SAMD00027990	PE	arabidopsis_halleri	2
DRR031922	SAMD00027991	PE	arabidopsis_halleri	2
DRR031924	SAMD00027992	PE	arabidopsis_halleri	2
DRR031926	SAMD00027993	PE	arabidopsis_halleri	2
DRR031928	SAMD00027994	PE	arabidopsis_halleri	2
DRR031930	SAMD00027995	PE	arabidopsis_halleri	2
DRR031932	SAMD00027996	PE	arabidopsis_halleri	2
DRR031934	SAMD00027997	PE	arabidopsis_halleri	2
DRR031936	SAMD00027998	PE	arabidopsis_halleri	2
DRR031938	SAMD00027999	PE	arabidopsis_halleri	2
DRR031940	SAMD00028000	PE	arabidopsis_halleri	2
DRR031942	SAMD00028001	PE	arabidopsis_halleri	2
DRR031944	SAMD00028002	PE	arabidopsis_halleri	2
DRR031946	SAMD00028003	PE	arabidopsis_halleri	2
DRR031948	SAMD00028004	PE	arabidopsis_halleri	2
DRR031950	SAMD00028005	PE	arabidopsis_halleri	2
DRR031952	SAMD00028006	PE	arabidopsis_halleri	2
DRR031954	SAMD00028007	PE	arabidopsis_halleri	2
DRR031956	SAMD00028008	PE	arabidopsis_halleri	2
DRR031957	SAMD00028009	PE	arabidopsis_halleri	2
DRR031959	SAMD00028010	PE	arabidopsis_halleri	2
DRR031961	SAMD00028011	PE	arabidopsis_halleri	2
DRR031963	SAMD00028012	PE	arabidopsis_halleri	2
DRR031965	SAMD00028013	PE	arabidopsis_halleri	2
DRR031967	SAMD00028014	PE	arabidopsis_halleri	2
DRR031969	SAMD00028015	PE	arabidopsis_halleri	2
DRR031970	SAMD00028016	PE	arabidopsis_halleri	2
DRR031972	SAMD00028017	PE	arabidopsis_halleri	2
DRR031974	SAMD00028018	PE	arabidopsis_halleri	2
DRR031975	SAMD00028019	PE	arabidopsis_halleri	2
DRR031976	SAMD00028020	PE	arabidopsis_halleri	2
DRR031977	SAMD00028021	PE	arabidopsis_halleri	2
DRR031978	SAMD00028022	PE	arabidopsis_halleri	2
DRR031980	SAMD00028023	PE	arabidopsis_halleri	2
DRR031981	SAMD00028024	PE	arabidopsis_halleri	2
DRR031983	SAMD00028025	PE	arabidopsis_halleri	2
SRR11128851	SAMN14054844	PE	brachypodium_distachyon	2
SRR11128850	SAMN14054845	PE	brachypodium_distachyon	2
SRR11128601	SAMN14054846	PE	brachypodium_distachyon	2
SRR11128762	SAMN14054847	PE	brachypodium_distachyon	2
SRR11128740	SAMN14054849	PE	brachypodium_distachyon	2
SRR11128729	SAMN14054850	PE	brachypodium_distachyon	2
SRR11128751	SAMN14054848	PE	brachypodium_distachyon	2
SRR11128718	SAMN14054851	PE	brachypodium_distachyon	2
SRR11128707	SAMN14054852	PE	brachypodium_distachyon	2
SRR11128696	SAMN14054853	PE	brachypodium_distachyon	2
SRR11128849	SAMN14054854	PE	brachypodium_distachyon	2
SRR11128838	SAMN14054855	PE	brachypodium_distachyon	2
SRR11128827	SAMN14054856	PE	brachypodium_distachyon	2
SRR11128678	SAMN14054857	PE	brachypodium_distachyon	2
SRR11128667	SAMN14054858	PE	brachypodium_distachyon	2
SRR11128656	SAMN14054859	PE	brachypodium_distachyon	2
SRR11128634	SAMN14054861	PE	brachypodium_distachyon	2
SRR11128645	SAMN14054860	PE	brachypodium_distachyon	2
SRR11128623	SAMN14054862	PE	brachypodium_distachyon	2
SRR11128612	SAMN14054863	PE	brachypodium_distachyon	2
SRR11128600	SAMN14054864	PE	brachypodium_distachyon	2
SRR11128589	SAMN14054865	PE	brachypodium_distachyon	2
SRR11128578	SAMN14054866	PE	brachypodium_distachyon	2
SRR11128817	SAMN14054867	PE	brachypodium_distachyon	2
SRR11128795	SAMN14054869	PE	brachypodium_distachyon	2
SRR11128784	SAMN14054870	PE	brachypodium_distachyon	2
SRR11128773	SAMN14054871	PE	brachypodium_distachyon	2
SRR11128764	SAMN14054872	PE	brachypodium_distachyon	2
SRR11128806	SAMN14054868	PE	brachypodium_distachyon	2
SRR11128763	SAMN14054873	PE	brachypodium_distachyon	2
SRR11128761	SAMN14054874	PE	brachypodium_distachyon	2
SRR11128760	SAMN14054875	PE	brachypodium_distachyon	2
SRR11128759	SAMN14054876	PE	brachypodium_distachyon	2
SRR11128758	SAMN14054877	PE	brachypodium_distachyon	2
SRR11128757	SAMN14054878	PE	brachypodium_distachyon	2
SRR11128756	SAMN14054879	PE	brachypodium_distachyon	2
SRR11128755	SAMN14054880	PE	brachypodium_distachyon	2
SRR11128754	SAMN14054881	PE	brachypodium_distachyon	2
SRR11128753	SAMN14054882	PE	brachypodium_distachyon	2
SRR11128752	SAMN14054883	PE	brachypodium_distachyon	2
SRR11128750	SAMN14054884	PE	brachypodium_distachyon	2
SRR11128749	SAMN14054885	PE	brachypodium_distachyon	2
SRR11128748	SAMN14054886	PE	brachypodium_distachyon	2
SRR11128747	SAMN14054887	PE	brachypodium_distachyon	2
SRR11128746	SAMN14054888	PE	brachypodium_distachyon	2
SRR11128745	SAMN14054889	PE	brachypodium_distachyon	2
SRR11128744	SAMN14054890	PE	brachypodium_distachyon	2
SRR11128743	SAMN14054891	PE	brachypodium_distachyon	2
SRR11128742	SAMN14054892	PE	brachypodium_distachyon	2
SRR11128741	SAMN14054893	PE	brachypodium_distachyon	2
SRR11128739	SAMN14054894	PE	brachypodium_distachyon	2
SRR11128738	SAMN14054895	PE	brachypodium_distachyon	2
SRR11128737	SAMN14054896	PE	brachypodium_distachyon	2
SRR11128736	SAMN14054897	PE	brachypodium_distachyon	2
SRR11128735	SAMN14054898	PE	brachypodium_distachyon	2
SRR11128734	SAMN14054899	PE	brachypodium_distachyon	2
ERR636123	SAMEA2784266	PE	capsella_rubella	2
ERR636124	SAMEA2784267	PE	capsella_rubella	2
ERR636125	SAMEA2784268	PE	capsella_rubella	2
ERR636126	SAMEA2784269	PE	capsella_rubella	2
ERR636127	SAMEA2784270	PE	capsella_rubella	2
ERR636128	SAMEA2784271	PE	capsella_rubella	2
