Sample	Passed Filter	Low Quality	Too Many N	Too short
SRR1945435_1	1104850.0	7791044.0	21149678.0	0.0
SRR1945436_1	2090750.0	9355206.0	39737428.0	0.0
SRR1945437_1	1597422.0	7107272.0	29134232.0	0.0
SRR1945438_1	1610486.0	7998328.0	31849452.0	0.0
SRR1945439_1	3449216.0	10164116.0	41500564.0	0.0
SRR1945440_1	1791064.0	7402058.0	33911336.0	0.0
SRR1945441_1	2299222.0	10634634.0	43929502.0	0.0
SRR1945442_1	2108222.0	9483736.0	37120194.0	0.0
SRR1945443_1	1435752.0	8600622.0	27579492.0	0.0
SRR1945444_1	1445136.0	8880646.0	31961718.0	0.0
SRR1945445_1	1110696.0	8219094.0	27861682.0	0.0
SRR1945446_1	17736452.0	2177732.0	198.0	0.0
SRR1945447	70215860.0	31156.0	23230.0	0.0
SRR1945448	63185483.0	26958.0	24841.0	0.0
SRR1945449	41200878.0	21407.0	3407.0	0.0
SRR1945450	38493781.0	19842.0	2881.0	0.0
SRR1945451_1	74925770.0	1484518.0	166128.0	0.0
SRR1945452	38922819.0	24897.0	2512.0	0.0
SRR1945453_1	180030694.0	1288918.0	26862.0	0.0
SRR1945454_1	123030588.0	934956.0	19326.0	0.0
SRR1945455_1	95672674.0	1276526.0	37126.0	0.0
SRR1945456_1	1618478.0	8681178.0	37694900.0	0.0
SRR1945457_1	101289344.0	891912.0	25204.0	0.0
SRR1945458_1	66012564.0	667184.0	14978.0	0.0
SRR1945459_1	114973680.0	1010992.0	75196.0	0.0
SRR1945460_1	47702966.0	115096.0	32672.0	0.0
SRR1945461_1	45300200.0	750252.0	4926.0	0.0
SRR1945462	63239975.0	29337.0	4334.0	0.0
SRR1945463_1	33816012.0	3953656.0	67892.0	0.0
SRR1945464_1	14166832.0	2442522.0	6286.0	0.0
SRR1945465_1	17131164.0	3244954.0	11646.0	0.0
SRR1945466_1	17017934.0	1897564.0	650.0	0.0
SRR1945467_1	22835468.0	4527392.0	18680.0	0.0
SRR1945468_1	40055784.0	2404102.0	0.0	0.0
SRR1945469_1	121097788.0	1478578.0	46300.0	0.0
SRR1945470_1	101547636.0	840804.0	25772.0	0.0
SRR1945471_1	66539020.0	443018.0	11688.0	0.0
SRR1945472_1	54752598.0	638902.0	7982.0	0.0
SRR1945473_1	44440456.0	3155034.0	0.0	0.0
SRR1945474_1	27431396.0	1722108.0	0.0	0.0
SRR1945475_1	28991152.0	1793540.0	0.0	0.0
SRR1945476_1	51735838.0	16585738.0	3732.0	0.0
SRR1945477_1	39292972.0	9016224.0	16288.0	0.0
SRR1945478_1	40885700.0	804256.0	28052.0	0.0
SRR1945479_1	41917182.0	956546.0	28464.0	0.0
SRR1945480_1	69327394.0	1214624.0	51056.0	0.0
SRR1945481_1	15305240.0	4348604.0	1132.0	0.0
SRR1945482_1	82637882.0	21665002.0	6556.0	0.0
SRR1945483_1	21398752.0	514528.0	14638.0	0.0
SRR1945484_1	48722338.0	6077908.0	22826.0	0.0
SRR1945485_1	53968926.0	16766818.0	66924.0	0.0
SRR1945486_1	50954014.0	1572728.0	31002.0	0.0
SRR1945487_1	75097204.0	2529208.0	25142.0	0.0
SRR1945488_1	37766810.0	871508.0	27884.0	0.0
SRR1945489_1	37533234.0	20063242.0	284378.0	0.0
SRR1945490_1	33433854.0	337092.0	13518.0	0.0
SRR1945491_1	83737630.0	2416632.0	51778.0	0.0
SRR1945492_1	61529344.0	29678618.0	1764.0	0.0
SRR1945493_1	55970870.0	416020.0	8924.0	0.0
SRR1945494_1	75591050.0	624768.0	211484.0	0.0
SRR1945495_1	59920452.0	610422.0	9004.0	0.0
SRR1945496_1	67019986.0	638146.0	15478.0	0.0
SRR1945497_1	65114376.0	663476.0	9772.0	0.0
SRR1945498_1	52834488.0	150868.0	16218.0	0.0
SRR1945499	66903670.0	43422.0	42762.0	0.0
SRR1945500	63365452.0	29298.0	26264.0	0.0
SRR1945501_1	51747032.0	677124.0	20086.0	0.0
SRR1945502_1	101026304.0	723132.0	18246.0	0.0
SRR1945503_1	100215402.0	952950.0	67316.0	0.0
SRR1945504_1	37087762.0	332646.0	6670.0	0.0
SRR1945505_1	60756662.0	756428.0	8882.0	0.0
SRR1945506_1	47844150.0	369002.0	7514.0	0.0
SRR1945507_1	48234212.0	3156550.0	0.0	0.0
SRR1945508_1	63106874.0	0.0	14562.0	0.0
SRR1945509_1	54721054.0	681980.0	20026.0	0.0
SRR1945510_1	99243812.0	1034608.0	15354.0	0.0
SRR1945511_1	44262032.0	333448.0	11482.0	0.0
SRR1945512_1	28648970.0	1548572.0	0.0	0.0
SRR1945513_1	31758484.0	1868386.0	0.0	0.0
SRR1945514_1	42460718.0	2272226.0	0.0	0.0
SRR1945515_1	29022650.0	1378600.0	0.0	0.0
SRR1945516	39294805.0	24447.0	2660.0	0.0
SRR1945517	39723777.0	16761.0	2850.0	0.0
SRR1945518_1	34009268.0	1721986.0	0.0	0.0
SRR1945519_1	30168664.0	1679392.0	0.0	0.0
SRR1945520_1	87640558.0	794176.0	251332.0	0.0
SRR1945521_1	49363798.0	60238.0	14700.0	0.0
SRR1945522_1	109131806.0	1072774.0	25328.0	0.0
SRR1945523_1	76941784.0	746118.0	11788.0	0.0
SRR1945524	38106565.0	15687.0	3936.0	0.0
SRR1945525	40430797.0	19156.0	2913.0	0.0
SRR1945526	65526324.0	44703.0	29256.0	7633.0
SRR1945527_1	79297076.0	712584.0	224852.0	0.0
SRR1945528	66644530.0	31524.0	6804.0	0.0
SRR1945529	68230912.0	139300.0	201320.0	0.0
SRR1945530	61306909.0	172551.0	33154.0	0.0
SRR1945531_1	39424730.0	2521666.0	0.0	0.0
SRR1945532_1	90855120.0	883046.0	59922.0	0.0
SRR1945533_1	26243778.0	1288402.0	0.0	0.0
SRR1945534_1	83025734.0	675554.0	238600.0	0.0
SRR1945535_1	61487922.0	629306.0	8998.0	0.0
SRR1945536_1	57027130.0	424580.0	8974.0	0.0
SRR1945537_1	26087250.0	1286552.0	0.0	0.0
SRR1945538_1	28654738.0	1639774.0	0.0	0.0
SRR1945539_1	59357144.0	510168.0	10508.0	0.0
SRR1945540_1	89835598.0	946422.0	58514.0	0.0
SRR1945541_1	32391462.0	2065194.0	18512.0	0.0
SRR1945542	69499029.0	38285.0	22472.0	0.0
SRR1945543	69100065.0	28269.0	5178.0	0.0
SRR1945544_1	33704076.0	1621618.0	0.0	0.0
SRR1945545_1	28932074.0	1368090.0	5266.0	0.0
SRR1945546_1	19622756.0	946672.0	3686.0	0.0
SRR1945547_1	87624408.0	813670.0	244094.0	0.0
SRR1945548_1	88861632.0	1892766.0	133858.0	0.0
SRR1945549_1	25019500.0	1119022.0	4490.0	0.0
SRR1945550_1	24422250.0	1062202.0	4364.0	0.0
SRR1945551_1	109808544.0	2325952.0	166246.0	0.0
SRR1945552_1	32797132.0	1513774.0	5860.0	0.0
SRR1945553_1	22966746.0	958488.0	3934.0	0.0
SRR1945554_1	25348364.0	1073810.0	4552.0	0.0
SRR1945555_1	24693418.0	1304190.0	4338.0	0.0
SRR1945556_1	25451578.0	1163616.0	4518.0	0.0
SRR1945557_1	29426666.0	1575486.0	5292.0	0.0
SRR1945558_1	19465470.0	1041704.0	3506.0	0.0
SRR1945559_1	74909272.0	138352.0	20038.0	0.0
SRR1945560_1	1907070.0	5316156.0	33051860.0	0.0
SRR1945561_1	1009122.0	3451488.0	21821006.0	0.0
SRR1945562_1	102830172.0	2099218.0	153376.0	0.0
SRR1945563_1	28055280.0	2333356.0	6666.0	0.0
SRR1945564_1	3518096.0	10118386.0	63122160.0	0.0
SRR1945565_1	65855642.0	1153348.0	150496.0	0.0
SRR1945566_1	1340214.0	5853078.0	32729002.0	0.0
SRR1945567_1	1751922.0	5959870.0	38334376.0	0.0
SRR1945568_1	1801392.0	6291072.0	38280658.0	0.0
SRR1945569_1	74347870.0	1345382.0	168664.0	0.0
SRR1945570_1	77438968.0	157258.0	22880.0	0.0
SRR1945571_1	107298578.0	2442864.0	158928.0	0.0
SRR1945572_1	1490664.0	4088252.0	26977382.0	0.0
SRR1945573_1	1292784.0	4605420.0	30409348.0	0.0
SRR1945574_1	23821820.0	1971458.0	5908.0	0.0
SRR1945575_1	1625050.0	5146146.0	31399236.0	0.0
SRR1945576_1	1379562.0	4753330.0	29347114.0	0.0
SRR1945577_1	2464436.0	8916428.0	41197936.0	0.0
SRR1945578_1	2021724.0	10153036.0	42802558.0	0.0
SRR1945579_1	99527724.0	2145914.0	217426.0	0.0
SRR1945580_1	1745172.0	7130918.0	33560564.0	0.0
SRR1945581_1	1741700.0	7418862.0	30844762.0	0.0
SRR1945582_1	80314982.0	1562310.0	172994.0	0.0
SRR1945583_1	1693820.0	8340018.0	39846080.0	0.0
SRR1945584_1	1907090.0	8141562.0	38015904.0	0.0
SRR1945585_1	15948554.0	1500152.0	5320.0	0.0
SRR1945586_1	44264110.0	6093224.0	33208.0	0.0
SRR1945587_1	51854994.0	12403312.0	398338.0	0.0
SRR1945588_1	69960662.0	2283890.0	782106.0	0.0
SRR1945589_1	65600848.0	9821656.0	36424.0	0.0
SRR1945590_1	19865100.0	2446864.0	41346.0	0.0
SRR1945591_1	27802958.0	13153782.0	3878.0	0.0
