Sample	command
SRR1945435_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945435_fastp.html -j fastp_output/SRR1945435_pe_fastp.json -i SRR1945435_1.fastq.gz -I SRR1945435_2.fastq.gz -o trimmed_reads/SRR1945435_1_trim.fastq.gz -O trimmed_reads/SRR1945435_2_trim.fastq.gz 
SRR1945436_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945436_fastp.html -j fastp_output/SRR1945436_pe_fastp.json -i SRR1945436_1.fastq.gz -I SRR1945436_2.fastq.gz -o trimmed_reads/SRR1945436_1_trim.fastq.gz -O trimmed_reads/SRR1945436_2_trim.fastq.gz 
SRR1945437_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945437_fastp.html -j fastp_output/SRR1945437_pe_fastp.json -i SRR1945437_1.fastq.gz -I SRR1945437_2.fastq.gz -o trimmed_reads/SRR1945437_1_trim.fastq.gz -O trimmed_reads/SRR1945437_2_trim.fastq.gz 
SRR1945438_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945438_fastp.html -j fastp_output/SRR1945438_pe_fastp.json -i SRR1945438_1.fastq.gz -I SRR1945438_2.fastq.gz -o trimmed_reads/SRR1945438_1_trim.fastq.gz -O trimmed_reads/SRR1945438_2_trim.fastq.gz 
SRR1945439_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945439_fastp.html -j fastp_output/SRR1945439_pe_fastp.json -i SRR1945439_1.fastq.gz -I SRR1945439_2.fastq.gz -o trimmed_reads/SRR1945439_1_trim.fastq.gz -O trimmed_reads/SRR1945439_2_trim.fastq.gz 
SRR1945440_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945440_fastp.html -j fastp_output/SRR1945440_pe_fastp.json -i SRR1945440_1.fastq.gz -I SRR1945440_2.fastq.gz -o trimmed_reads/SRR1945440_1_trim.fastq.gz -O trimmed_reads/SRR1945440_2_trim.fastq.gz 
SRR1945441_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945441_fastp.html -j fastp_output/SRR1945441_pe_fastp.json -i SRR1945441_1.fastq.gz -I SRR1945441_2.fastq.gz -o trimmed_reads/SRR1945441_1_trim.fastq.gz -O trimmed_reads/SRR1945441_2_trim.fastq.gz 
SRR1945442_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945442_fastp.html -j fastp_output/SRR1945442_pe_fastp.json -i SRR1945442_1.fastq.gz -I SRR1945442_2.fastq.gz -o trimmed_reads/SRR1945442_1_trim.fastq.gz -O trimmed_reads/SRR1945442_2_trim.fastq.gz 
SRR1945443_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945443_fastp.html -j fastp_output/SRR1945443_pe_fastp.json -i SRR1945443_1.fastq.gz -I SRR1945443_2.fastq.gz -o trimmed_reads/SRR1945443_1_trim.fastq.gz -O trimmed_reads/SRR1945443_2_trim.fastq.gz 
SRR1945444_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945444_fastp.html -j fastp_output/SRR1945444_pe_fastp.json -i SRR1945444_1.fastq.gz -I SRR1945444_2.fastq.gz -o trimmed_reads/SRR1945444_1_trim.fastq.gz -O trimmed_reads/SRR1945444_2_trim.fastq.gz 
SRR1945445_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945445_fastp.html -j fastp_output/SRR1945445_pe_fastp.json -i SRR1945445_1.fastq.gz -I SRR1945445_2.fastq.gz -o trimmed_reads/SRR1945445_1_trim.fastq.gz -O trimmed_reads/SRR1945445_2_trim.fastq.gz 
SRR1945446_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945446_fastp.html -j fastp_output/SRR1945446_pe_fastp.json -i SRR1945446_1.fastq.gz -I SRR1945446_2.fastq.gz -o trimmed_reads/SRR1945446_1_trim.fastq.gz -O trimmed_reads/SRR1945446_2_trim.fastq.gz 
SRR1945447	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945447_fastp.html -j fastp_output/SRR1945447_se_fastp.json -i SRR1945447.fastq.gz -o trimmed_reads/SRR1945447_trim.fastq.gz 
SRR1945448	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945448_fastp.html -j fastp_output/SRR1945448_se_fastp.json -i SRR1945448.fastq.gz -o trimmed_reads/SRR1945448_trim.fastq.gz 
SRR1945449	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945449_fastp.html -j fastp_output/SRR1945449_se_fastp.json -i SRR1945449.fastq.gz -o trimmed_reads/SRR1945449_trim.fastq.gz 
SRR1945450	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945450_fastp.html -j fastp_output/SRR1945450_se_fastp.json -i SRR1945450.fastq.gz -o trimmed_reads/SRR1945450_trim.fastq.gz 
SRR1945451_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945451_fastp.html -j fastp_output/SRR1945451_pe_fastp.json -i SRR1945451_1.fastq.gz -I SRR1945451_2.fastq.gz -o trimmed_reads/SRR1945451_1_trim.fastq.gz -O trimmed_reads/SRR1945451_2_trim.fastq.gz 
SRR1945452	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945452_fastp.html -j fastp_output/SRR1945452_se_fastp.json -i SRR1945452.fastq.gz -o trimmed_reads/SRR1945452_trim.fastq.gz 
SRR1945453_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945453_fastp.html -j fastp_output/SRR1945453_pe_fastp.json -i SRR1945453_1.fastq.gz -I SRR1945453_2.fastq.gz -o trimmed_reads/SRR1945453_1_trim.fastq.gz -O trimmed_reads/SRR1945453_2_trim.fastq.gz 
SRR1945454_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945454_fastp.html -j fastp_output/SRR1945454_pe_fastp.json -i SRR1945454_1.fastq.gz -I SRR1945454_2.fastq.gz -o trimmed_reads/SRR1945454_1_trim.fastq.gz -O trimmed_reads/SRR1945454_2_trim.fastq.gz 
SRR1945455_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945455_fastp.html -j fastp_output/SRR1945455_pe_fastp.json -i SRR1945455_1.fastq.gz -I SRR1945455_2.fastq.gz -o trimmed_reads/SRR1945455_1_trim.fastq.gz -O trimmed_reads/SRR1945455_2_trim.fastq.gz 
SRR1945456_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945456_fastp.html -j fastp_output/SRR1945456_pe_fastp.json -i SRR1945456_1.fastq.gz -I SRR1945456_2.fastq.gz -o trimmed_reads/SRR1945456_1_trim.fastq.gz -O trimmed_reads/SRR1945456_2_trim.fastq.gz 
SRR1945457_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945457_fastp.html -j fastp_output/SRR1945457_pe_fastp.json -i SRR1945457_1.fastq.gz -I SRR1945457_2.fastq.gz -o trimmed_reads/SRR1945457_1_trim.fastq.gz -O trimmed_reads/SRR1945457_2_trim.fastq.gz 
SRR1945458_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945458_fastp.html -j fastp_output/SRR1945458_pe_fastp.json -i SRR1945458_1.fastq.gz -I SRR1945458_2.fastq.gz -o trimmed_reads/SRR1945458_1_trim.fastq.gz -O trimmed_reads/SRR1945458_2_trim.fastq.gz 
SRR1945459_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945459_fastp.html -j fastp_output/SRR1945459_pe_fastp.json -i SRR1945459_1.fastq.gz -I SRR1945459_2.fastq.gz -o trimmed_reads/SRR1945459_1_trim.fastq.gz -O trimmed_reads/SRR1945459_2_trim.fastq.gz 
SRR1945460_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945460_fastp.html -j fastp_output/SRR1945460_pe_fastp.json -i SRR1945460_1.fastq.gz -I SRR1945460_2.fastq.gz -o trimmed_reads/SRR1945460_1_trim.fastq.gz -O trimmed_reads/SRR1945460_2_trim.fastq.gz 
SRR1945461_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945461_fastp.html -j fastp_output/SRR1945461_pe_fastp.json -i SRR1945461_1.fastq.gz -I SRR1945461_2.fastq.gz -o trimmed_reads/SRR1945461_1_trim.fastq.gz -O trimmed_reads/SRR1945461_2_trim.fastq.gz 
SRR1945462	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945462_fastp.html -j fastp_output/SRR1945462_se_fastp.json -i SRR1945462.fastq.gz -o trimmed_reads/SRR1945462_trim.fastq.gz 
SRR1945463_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945463_fastp.html -j fastp_output/SRR1945463_pe_fastp.json -i SRR1945463_1.fastq.gz -I SRR1945463_2.fastq.gz -o trimmed_reads/SRR1945463_1_trim.fastq.gz -O trimmed_reads/SRR1945463_2_trim.fastq.gz 
SRR1945464_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945464_fastp.html -j fastp_output/SRR1945464_pe_fastp.json -i SRR1945464_1.fastq.gz -I SRR1945464_2.fastq.gz -o trimmed_reads/SRR1945464_1_trim.fastq.gz -O trimmed_reads/SRR1945464_2_trim.fastq.gz 
SRR1945465_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945465_fastp.html -j fastp_output/SRR1945465_pe_fastp.json -i SRR1945465_1.fastq.gz -I SRR1945465_2.fastq.gz -o trimmed_reads/SRR1945465_1_trim.fastq.gz -O trimmed_reads/SRR1945465_2_trim.fastq.gz 
SRR1945466_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945466_fastp.html -j fastp_output/SRR1945466_pe_fastp.json -i SRR1945466_1.fastq.gz -I SRR1945466_2.fastq.gz -o trimmed_reads/SRR1945466_1_trim.fastq.gz -O trimmed_reads/SRR1945466_2_trim.fastq.gz 
