assembly	chromosome
arabidopsis_halleri	chr1
arabidopsis_halleri	chr2
arabidopsis_halleri	chr3
arabidopsis_halleri	chr4
arabidopsis_halleri	chr5
arabidopsis_halleri	chr6
arabidopsis_halleri	chr7
arabidopsis_halleri	chr8
arabidopsis_halleri	CTG1
arabidopsis_halleri	CTG113
arabidopsis_halleri	CTG118
arabidopsis_halleri	CTG119
arabidopsis_halleri	CTG12
arabidopsis_halleri	CTG124
arabidopsis_halleri	CTG13
arabidopsis_halleri	CTG130
arabidopsis_halleri	CTG133
arabidopsis_halleri	CTG135
arabidopsis_halleri	CTG136
arabidopsis_halleri	CTG147
arabidopsis_halleri	CTG148
arabidopsis_halleri	CTG16
arabidopsis_halleri	CTG160
arabidopsis_halleri	CTG164
arabidopsis_halleri	CTG169
arabidopsis_halleri	CTG170
arabidopsis_halleri	CTG177
arabidopsis_halleri	CTG181
arabidopsis_halleri	CTG183
arabidopsis_halleri	CTG187
arabidopsis_halleri	CTG188
arabidopsis_halleri	CTG193
arabidopsis_halleri	CTG197
arabidopsis_halleri	CTG2
arabidopsis_halleri	CTG200
arabidopsis_halleri	CTG202
arabidopsis_halleri	CTG22
arabidopsis_halleri	CTG23
arabidopsis_halleri	CTG25
arabidopsis_halleri	CTG26
arabidopsis_halleri	CTG3
arabidopsis_halleri	CTG30
arabidopsis_halleri	CTG33
arabidopsis_halleri	CTG36
arabidopsis_halleri	CTG41
arabidopsis_halleri	CTG42
arabidopsis_halleri	CTG46
arabidopsis_halleri	CTG47
arabidopsis_halleri	CTG49
arabidopsis_halleri	CTG5
arabidopsis_halleri	CTG50
arabidopsis_halleri	CTG53
arabidopsis_halleri	CTG55
arabidopsis_halleri	CTG56
arabidopsis_halleri	CTG58
arabidopsis_halleri	CTG6
arabidopsis_halleri	CTG63
arabidopsis_halleri	CTG69
arabidopsis_halleri	CTG7
arabidopsis_halleri	CTG70
arabidopsis_halleri	CTG73
arabidopsis_halleri	CTG79
arabidopsis_halleri	CTG87
arabidopsis_halleri	CTG90
arabidopsis_halleri	CTG93
arabidopsis_halleri	CTG98
arabidopsis_lyrata	scaffold1
arabidopsis_lyrata	scaffold100
arabidopsis_lyrata	scaffold1006
arabidopsis_lyrata	scaffold1008
arabidopsis_lyrata	scaffold1010
arabidopsis_lyrata	scaffold1014
arabidopsis_lyrata	scaffold1017
arabidopsis_lyrata	scaffold1025
arabidopsis_lyrata	scaffold103
arabidopsis_lyrata	scaffold1031
arabidopsis_lyrata	scaffold1032
arabidopsis_lyrata	scaffold1033
arabidopsis_lyrata	scaffold1040
arabidopsis_lyrata	scaffold1041
arabidopsis_lyrata	scaffold1046
arabidopsis_lyrata	scaffold1048
arabidopsis_lyrata	scaffold1058
arabidopsis_lyrata	scaffold106
arabidopsis_lyrata	scaffold1072
arabidopsis_lyrata	scaffold108
arabidopsis_lyrata	scaffold1084
arabidopsis_lyrata	scaffold109
arabidopsis_lyrata	scaffold110
arabidopsis_lyrata	scaffold1105
arabidopsis_lyrata	scaffold112
arabidopsis_lyrata	scaffold113
arabidopsis_lyrata	scaffold117
arabidopsis_lyrata	scaffold120
arabidopsis_lyrata	scaffold122
arabidopsis_lyrata	scaffold123
arabidopsis_lyrata	scaffold125
arabidopsis_lyrata	scaffold126
arabidopsis_lyrata	scaffold128
arabidopsis_lyrata	scaffold130
arabidopsis_lyrata	scaffold132
arabidopsis_lyrata	scaffold133
arabidopsis_lyrata	scaffold135
arabidopsis_lyrata	scaffold136
